state,counts_all,updated_date,scrape_date
ALABAMA,103774,2025-02-19,2025-02-19
ALASKA,19629,2025-02-19,2025-02-19
AMERICAN SAMOA,96,2025-02-19,2025-02-19
ARIZONA,127005,2025-02-19,2025-02-19
ARKANSAS,62074,2025-02-19,2025-02-19
CALIFORNIA,669153,2025-02-19,2025-02-19
COLORADO,96092,2025-02-19,2025-02-19
CONNECTICUT,95007,2025-02-19,2025-02-19
DELAWARE,24946,2025-02-19,2025-02-19
DISTRICT OF COLUMBIA,45718,2025-02-19,2025-02-19
FLORIDA,449496,2025-02-19,2025-02-19
GEORGIA,178987,2025-02-19,2025-02-19
GUAM,1448,2025-02-19,2025-02-19
HAWAII,41670,2025-02-19,2025-02-19
IDAHO,33463,2025-02-19,2025-02-19
ILLINOIS,263056,2025-02-19,2025-02-19
INDIANA,153487,2025-02-19,2025-02-19
IOWA,66928,2025-02-19,2025-02-19
KANSAS,62237,2025-02-19,2025-02-19
KENTUCKY,88906,2025-02-19,2025-02-19
LOUISIANA,87540,2025-02-19,2025-02-19
MAINE,30464,2025-02-19,2025-02-19
MARYLAND,101029,2025-02-19,2025-02-19
MASSACHUSETTS,179083,2025-02-19,2025-02-19
MICHIGAN,197210,2025-02-19,2025-02-19
MINNESOTA,152055,2025-02-19,2025-02-19
MISSISSIPPI,65954,2025-02-19,2025-02-19
MISSOURI,147980,2025-02-19,2025-02-19
MONTANA,26291,2025-02-19,2025-02-19
NEBRASKA,36826,2025-02-19,2025-02-19
NEVADA,65414,2025-02-19,2025-02-19
NEW HAMPSHIRE,30633,2025-02-19,2025-02-19
NEW JERSEY,174557,2025-02-19,2025-02-19
NEW MEXICO,36537,2025-02-19,2025-02-19
NEW YORK,568687,2025-02-19,2025-02-19
NORTH CAROLINA,185567,2025-02-19,2025-02-19
NORTH DAKOTA,19526,2025-02-19,2025-02-19
NORTHERN MARIANA ISLANDS,4537,2025-02-19,2025-02-19
OHIO,286264,2025-02-19,2025-02-19
OKLAHOMA,70520,2025-02-19,2025-02-19
OREGON,94390,2025-02-19,2025-02-19
PENNSYLVANIA,289003,2025-02-19,2025-02-19
RHODE ISLAND,28672,2025-02-19,2025-02-19
SOUTH CAROLINA,97588,2025-02-19,2025-02-19
SOUTH DAKOTA,22846,2025-02-19,2025-02-19
TENNESSEE,146030,2025-02-19,2025-02-19
TEXAS,521320,2025-02-19,2025-02-19
UTAH,45946,2025-02-19,2025-02-19
VERMONT,14801,2025-02-19,2025-02-19
VIRGIN ISLANDS,1394,2025-02-19,2025-02-19
VIRGINIA,147688,2025-02-19,2025-02-19
WASHINGTON,118790,2025-02-19,2025-02-19
WEST VIRGINIA,41605,2025-02-19,2025-02-19
WISCONSIN,128322,2025-02-19,2025-02-19
WYOMING,8955,2025-02-19,2025-02-19
