state,counts_rn,updated_date,scrape_date
ALABAMA,98842,2022-12-28,2022-12-28
ALASKA,16855,2022-12-28,2022-12-28
AMERICAN SAMOA,167,2022-12-28,2022-12-28
ARIZONA,107837,2022-12-28,2022-12-28
ARKANSAS,46039,2022-12-28,2022-12-28
CALIFORNIA-RN,497140,2022-12-28,2022-12-28
CALIFORNIA-VN (Non-Participating),NA,2022-12-28,2022-12-28
COLORADO,84971,2022-12-28,2022-12-28
CONNECTICUT,89659,2022-12-28,2022-12-28
DELAWARE,21183,2022-12-28,2022-12-28
DISTRICT OF COLUMBIA,36332,2022-12-28,2022-12-28
FLORIDA,360902,2022-12-28,2022-12-28
GEORGIA,140406,2022-12-28,2022-12-28
GUAM,1287,2022-12-28,2022-12-28
HAWAII,33284,2022-12-28,2022-12-28
IDAHO,28733,2022-12-28,2022-12-28
ILLINOIS,213010,2022-12-28,2022-12-28
INDIANA,128311,2022-12-28,2022-12-28
IOWA,57728,2022-12-28,2022-12-28
KANSAS,53209,2022-12-28,2022-12-28
KENTUCKY,73604,2022-12-28,2022-12-28
LOUISIANA-PN (Non-Participating),NA,2022-12-28,2022-12-28
LOUISIANA-RN,65633,2022-12-28,2022-12-28
MAINE,28797,2022-12-28,2022-12-28
MARYLAND,88135,2022-12-28,2022-12-28
MASSACHUSETTS,168848,2022-12-28,2022-12-28
MICHIGAN (Non-Participating),NA,2022-12-28,2022-12-28
MINNESOTA,129150,2022-12-28,2022-12-28
MISSISSIPPI,52479,2022-12-28,2022-12-28
MISSOURI,122096,2022-12-28,2022-12-28
MONTANA,21773,2022-12-28,2022-12-28
NEBRASKA,31157,2022-12-28,2022-12-28
NEVADA,56612,2022-12-28,2022-12-28
NEW HAMPSHIRE,26650,2022-12-28,2022-12-28
NEW JERSEY,142414,2022-12-28,2022-12-28
NEW MEXICO,31615,2022-12-28,2022-12-28
NEW YORK,386115,2022-12-28,2022-12-28
NORTH CAROLINA,154214,2022-12-28,2022-12-28
NORTH DAKOTA,17441,2022-12-28,2022-12-28
NORTHERN MARIANA ISLANDS,3676,2022-12-28,2022-12-28
OHIO,239384,2022-12-28,2022-12-28
OKLAHOMA,50424,2022-12-28,2022-12-28
OREGON,80889,2022-12-28,2022-12-28
PENNSYLVANIA,245243,2022-12-28,2022-12-28
RHODE ISLAND,29239,2022-12-28,2022-12-28
SOUTH CAROLINA,79038,2022-12-28,2022-12-28
SOUTH DAKOTA,19678,2022-12-28,2022-12-28
TENNESSEE,113238,2022-12-28,2022-12-28
TEXAS,380564,2022-12-28,2022-12-28
UTAH,44142,2022-12-28,2022-12-28
VERMONT,22006,2022-12-28,2022-12-28
VIRGIN ISLANDS,1110,2022-12-28,2022-12-28
VIRGINIA,116085,2022-12-28,2022-12-28
WASHINGTON,126502,2022-12-28,2022-12-28
WEST VIRGINIA-PN (Non-Participating),NA,2022-12-28,2022-12-28
WEST VIRGINIA-RN,34484,2022-12-28,2022-12-28
WISCONSIN,117901,2022-12-28,2022-12-28
WYOMING,9600,2022-12-28,2022-12-28
TOTALS,5325831,2022-12-28,2022-12-28
