state,counts_all,updated_date,scrape_date
ALABAMA,110337,2021-10-21,2021-10-22
ALASKA,18105,2021-10-21,2021-10-22
AMERICAN SAMOA,297,2021-10-21,2021-10-22
ARIZONA,112110,2021-10-21,2021-10-22
ARKANSAS,59016,2021-10-21,2021-10-22
CALIFORNIA,568595,2021-10-21,2021-10-22
COLORADO,92034,2021-10-21,2021-10-22
CONNECTICUT,93653,2021-10-21,2021-10-22
DELAWARE,22150,2021-10-21,2021-10-22
DISTRICT OF COLUMBIA,31701,2021-10-21,2021-10-22
FLORIDA,403275,2021-10-21,2021-10-22
GEORGIA,167620,2021-10-21,2021-10-22
GUAM,1709,2021-10-21,2021-10-22
HAWAII,27146,2021-10-21,2021-10-22
IDAHO,28485,2021-10-21,2021-10-22
ILLINOIS,242299,2021-10-21,2021-10-22
INDIANA,156045,2021-10-21,2021-10-22
IOWA,68771,2021-10-21,2021-10-22
KANSAS,63768,2021-10-21,2021-10-22
KENTUCKY,89815,2021-10-21,2021-10-22
LOUISIANA,87091,2021-10-21,2021-10-22
MAINE,29772,2021-10-21,2021-10-22
MARYLAND,98175,2021-10-21,2021-10-22
MASSACHUSETTS,171608,2021-10-21,2021-10-22
MICHIGAN (Non-Participating),NA,2021-10-21,2021-10-22
MINNESOTA,139280,2021-10-21,2021-10-22
MISSISSIPPI,64264,2021-10-21,2021-10-22
MISSOURI,140143,2021-10-21,2021-10-22
MONTANA,22088,2021-10-21,2021-10-22
NEBRASKA,40069,2021-10-21,2021-10-22
NEVADA,55334,2021-10-21,2021-10-22
NEW HAMPSHIRE,28421,2021-10-21,2021-10-22
NEW JERSEY,161649,2021-10-21,2021-10-22
NEW MEXICO,32529,2021-10-21,2021-10-22
NEW YORK,487870,2021-10-21,2021-10-22
NORTH CAROLINA,171438,2021-10-21,2021-10-22
NORTH DAKOTA,20018,2021-10-21,2021-10-22
NORTHERN MARIANA ISLANDS,3415,2021-10-21,2021-10-22
OHIO,284668,2021-10-21,2021-10-22
OKLAHOMA,67653,2021-10-21,2021-10-22
OREGON,78383,2021-10-21,2021-10-22
PENNSYLVANIA,289020,2021-10-21,2021-10-22
RHODE ISLAND,29071,2021-10-21,2021-10-22
SOUTH CAROLINA,88699,2021-10-21,2021-10-22
SOUTH DAKOTA,21931,2021-10-21,2021-10-22
TENNESSEE,140382,2021-10-21,2021-10-22
TEXAS,469113,2021-10-21,2021-10-22
UTAH,42403,2021-10-21,2021-10-22
VERMONT,22116,2021-10-21,2021-10-22
VIRGIN ISLANDS,1377,2021-10-21,2021-10-22
VIRGINIA,139301,2021-10-21,2021-10-22
WASHINGTON,127203,2021-10-21,2021-10-22
WEST VIRGINIA,42188,2021-10-21,2021-10-22
WISCONSIN,125300,2021-10-21,2021-10-22
WYOMING,9591,2021-10-21,2021-10-22
