state,counts_lpn,updated_date,scrape_date
ALABAMA,15196,2024-09-14,2024-09-14
ALASKA,858,2024-09-14,2024-09-14
AMERICAN SAMOA,7,2024-09-14,2024-09-14
ARIZONA,10716,2024-09-14,2024-09-14
ARKANSAS,13896,2024-09-14,2024-09-14
CALIFORNIA-RN (Non-Participating),NA,2024-09-14,2024-09-14
CALIFORNIA-VN,112549,2024-09-14,2024-09-14
COLORADO,8494,2024-09-14,2024-09-14
CONNECTICUT,12722,2024-09-14,2024-09-14
DELAWARE,2977,2024-09-14,2024-09-14
DISTRICT OF COLUMBIA,2814,2024-09-14,2024-09-14
FLORIDA,63999,2024-09-14,2024-09-14
GEORGIA,29762,2024-09-14,2024-09-14
GUAM,190,2024-09-14,2024-09-14
HAWAII,2055,2024-09-14,2024-09-14
IDAHO,3079,2024-09-14,2024-09-14
ILLINOIS,26487,2024-09-14,2024-09-14
INDIANA,22827,2024-09-14,2024-09-14
IOWA,9020,2024-09-14,2024-09-14
KANSAS,9294,2024-09-14,2024-09-14
KENTUCKY,13207,2024-09-14,2024-09-14
LOUISIANA-PN,21846,2024-09-14,2024-09-14
LOUISIANA-RN (Non-Participating),NA,2024-09-14,2024-09-14
MAINE,1671,2024-09-14,2024-09-14
MARYLAND,11080,2024-09-14,2024-09-14
MASSACHUSETTS,19767,2024-09-14,2024-09-14
MICHIGAN,20846,2024-09-14,2024-09-14
MINNESOTA,17854,2024-09-14,2024-09-14
MISSISSIPPI,13800,2024-09-14,2024-09-14
MISSOURI,22205,2024-09-14,2024-09-14
MONTANA,2218,2024-09-14,2024-09-14
NEBRASKA,5296,2024-09-14,2024-09-14
NEVADA,4796,2024-09-14,2024-09-14
NEW HAMPSHIRE,3132,2024-09-14,2024-09-14
NEW JERSEY,23666,2024-09-14,2024-09-14
NEW MEXICO,2436,2024-09-14,2024-09-14
NEW YORK,75219,2024-09-14,2024-09-14
NORTH CAROLINA,23065,2024-09-14,2024-09-14
NORTH DAKOTA,2991,2024-09-14,2024-09-14
NORTHERN MARIANA ISLANDS,58,2024-09-14,2024-09-14
OHIO,55914,2024-09-14,2024-09-14
OKLAHOMA,16916,2024-09-14,2024-09-14
OREGON,6472,2024-09-14,2024-09-14
PENNSYLVANIA,47885,2024-09-14,2024-09-14
RHODE ISLAND,2616,2024-09-14,2024-09-14
SOUTH CAROLINA,11988,2024-09-14,2024-09-14
SOUTH DAKOTA,2767,2024-09-14,2024-09-14
TENNESSEE,29204,2024-09-14,2024-09-14
TEXAS,101842,2024-09-14,2024-09-14
UTAH,2544,2024-09-14,2024-09-14
VERMONT,1492,2024-09-14,2024-09-14
VIRGIN ISLANDS,83,2024-09-14,2024-09-14
VIRGINIA,26259,2024-09-14,2024-09-14
WASHINGTON,10459,2024-09-14,2024-09-14
WEST VIRGINIA-PN,7295,2024-09-14,2024-09-14
WEST VIRGINIA-RN (Non-Participating),NA,2024-09-14,2024-09-14
WISCONSIN,11782,2024-09-14,2024-09-14
WYOMING,1002,2024-09-14,2024-09-14
TOTALS,968615,2024-09-14,2024-09-14
