state,counts_lpn,updated_date,scrape_date
ALABAMA,17185,2021-12-04,2021-12-06
ALASKA,753,2021-12-04,2021-12-06
AMERICAN SAMOA,132,2021-12-04,2021-12-06
ARIZONA,10784,2021-12-04,2021-12-06
ARKANSAS,14137,2021-12-04,2021-12-06
CALIFORNIA-RN (Non-Participating),NA,2021-12-04,2021-12-06
CALIFORNIA-VN,105293,2021-12-04,2021-12-06
COLORADO,7995,2021-12-04,2021-12-06
CONNECTICUT,13780,2021-12-04,2021-12-06
DELAWARE,3161,2021-12-04,2021-12-06
DISTRICT OF COLUMBIA,2168,2021-12-04,2021-12-06
FLORIDA,61117,2021-12-04,2021-12-06
GEORGIA,29640,2021-12-04,2021-12-06
GUAM,198,2021-12-04,2021-12-06
HAWAII,1670,2021-12-04,2021-12-06
IDAHO,3490,2021-12-04,2021-12-06
ILLINOIS,25555,2021-12-04,2021-12-06
INDIANA,22838,2021-12-04,2021-12-06
IOWA,10110,2021-12-04,2021-12-06
KANSAS,9609,2021-12-04,2021-12-06
KENTUCKY,12689,2021-12-04,2021-12-06
LOUISIANA-PN,21782,2021-12-04,2021-12-06
LOUISIANA-RN (Non-Participating),NA,2021-12-04,2021-12-06
MAINE,1904,2021-12-04,2021-12-06
MARYLAND,11290,2021-12-04,2021-12-06
MASSACHUSETTS,20078,2021-12-04,2021-12-06
MICHIGAN (Non-Participating),NA,2021-12-04,2021-12-06
MINNESOTA,19572,2021-12-04,2021-12-06
MISSISSIPPI,14099,2021-12-04,2021-12-06
MISSOURI,24470,2021-12-04,2021-12-06
MONTANA,2413,2021-12-04,2021-12-06
NEBRASKA,5189,2021-12-04,2021-12-06
NEVADA,4412,2021-12-04,2021-12-06
NEW HAMPSHIRE,3078,2021-12-04,2021-12-06
NEW JERSEY,23761,2021-12-04,2021-12-06
NEW MEXICO,2469,2021-12-04,2021-12-06
NEW YORK,86940,2021-12-04,2021-12-06
NORTH CAROLINA,22675,2021-12-04,2021-12-06
NORTH DAKOTA,3442,2021-12-04,2021-12-06
NORTHERN MARIANA ISLANDS,47,2021-12-04,2021-12-06
OHIO,53481,2021-12-04,2021-12-06
OKLAHOMA,15459,2021-12-04,2021-12-06
OREGON,6020,2021-12-04,2021-12-06
PENNSYLVANIA,52519,2021-12-04,2021-12-06
RHODE ISLAND,2539,2021-12-04,2021-12-06
SOUTH CAROLINA,12312,2021-12-04,2021-12-06
SOUTH DAKOTA,2683,2021-12-04,2021-12-06
TENNESSEE,30206,2021-12-04,2021-12-06
TEXAS,105252,2021-12-04,2021-12-06
UTAH,2779,2021-12-04,2021-12-06
VERMONT,2571,2021-12-04,2021-12-06
VIRGIN ISLANDS,91,2021-12-04,2021-12-06
VIRGINIA,26908,2021-12-04,2021-12-06
WASHINGTON,11074,2021-12-04,2021-12-06
WEST VIRGINIA-PN,7936,2021-12-04,2021-12-06
WEST VIRGINIA-RN (Non-Participating),NA,2021-12-04,2021-12-06
WISCONSIN,15008,2021-12-04,2021-12-06
WYOMING,848,2021-12-04,2021-12-06
TOTALS,967611,2021-12-04,2021-12-06
