state,counts_rn,updated_date,scrape_date
ALABAMA,93275,2026-08-20,2026-08-20
ALASKA,24816,2026-08-20,2026-08-20
AMERICAN SAMOA,176,2026-08-20,2026-08-20
ARIZONA,116326,2026-08-20,2026-08-20
ARKANSAS,50206,2026-08-20,2026-08-20
CALIFORNIA-RN,621511,2026-08-20,2026-08-20
CALIFORNIA-VN (Non-Participating),NA,2026-08-20,2026-08-20
COLORADO,93205,2026-08-20,2026-08-20
CONNECTICUT,76842,2026-08-20,2026-08-20
DELAWARE,19961,2026-08-20,2026-08-20
DISTRICT OF COLUMBIA,45899,2026-08-20,2026-08-20
FLORIDA,385831,2026-08-20,2026-08-20
GEORGIA,151010,2026-08-20,2026-08-20
GUAM,1296,2026-08-20,2026-08-20
HAWAII,38244,2026-08-20,2026-08-20
IDAHO,30238,2026-08-20,2026-08-20
ILLINOIS,265937,2026-08-20,2026-08-20
INDIANA,134369,2026-08-20,2026-08-20
IOWA,59406,2026-08-20,2026-08-20
KANSAS,54220,2026-08-20,2026-08-20
KENTUCKY,81360,2026-08-20,2026-08-20
LOUISIANA-PN (Non-Participating),NA,2026-08-20,2026-08-20
LOUISIANA-RN,69087,2026-08-20,2026-08-20
MAINE,28973,2026-08-20,2026-08-20
MARYLAND,91211,2026-08-20,2026-08-20
MASSACHUSETTS,162427,2026-08-20,2026-08-20
MICHIGAN,192113,2026-08-20,2026-08-20
MINNESOTA,141485,2026-08-20,2026-08-20
MISSISSIPPI,56439,2026-08-20,2026-08-20
MISSOURI,122747,2026-08-20,2026-08-20
MONTANA,27312,2026-08-20,2026-08-20
NEBRASKA,34428,2026-08-20,2026-08-20
NEVADA,65216,2026-08-20,2026-08-20
NEW HAMPSHIRE,28088,2026-08-20,2026-08-20
NEW JERSEY,151124,2026-08-20,2026-08-20
NEW MEXICO,35866,2026-08-20,2026-08-20
NEW YORK,561145,2026-08-20,2026-08-20
NORTH CAROLINA,169796,2026-08-20,2026-08-20
NORTH DAKOTA,17877,2026-08-20,2026-08-20
NORTHERN MARIANA ISLANDS,3617,2026-08-20,2026-08-20
OHIO,235357,2026-08-20,2026-08-20
OKLAHOMA,56771,2026-08-20,2026-08-20
OREGON,93282,2026-08-20,2026-08-20
PENNSYLVANIA,239525,2026-08-20,2026-08-20
RHODE ISLAND,21409,2026-08-20,2026-08-20
SOUTH CAROLINA,88618,2026-08-20,2026-08-20
SOUTH DAKOTA,20656,2026-08-20,2026-08-20
TENNESSEE,119814,2026-08-20,2026-08-20
TEXAS,438223,2026-08-20,2026-08-20
UTAH,49193,2026-08-20,2026-08-20
VERMONT,12547,2026-08-20,2026-08-20
VIRGIN ISLANDS,1203,2026-08-20,2026-08-20
VIRGINIA,125805,2026-08-20,2026-08-20
WASHINGTON,108170,2026-08-20,2026-08-20
WEST VIRGINIA-PN (Non-Participating),NA,2026-08-20,2026-08-20
WEST VIRGINIA-RN,33044,2026-08-20,2026-08-20
WISCONSIN,115500,2026-08-20,2026-08-20
WYOMING,9195,2026-08-20,2026-08-20
TOTALS,6071391,2026-08-20,2026-08-20
