state,counts_all,updated_date,scrape_date
ALABAMA,107418,2025-12-30,2025-12-30
ALASKA,23123,2025-12-30,2025-12-30
AMERICAN SAMOA,229,2025-12-30,2025-12-30
ARIZONA,127833,2025-12-30,2025-12-30
ARKANSAS,63102,2025-12-30,2025-12-30
CALIFORNIA,707988,2025-12-30,2025-12-30
COLORADO,96687,2025-12-30,2025-12-30
CONNECTICUT,94440,2025-12-30,2025-12-30
DELAWARE,22432,2025-12-30,2025-12-30
DISTRICT OF COLUMBIA,51903,2025-12-30,2025-12-30
FLORIDA,449536,2025-12-30,2025-12-30
GEORGIA,177678,2025-12-30,2025-12-30
GUAM,1344,2025-12-30,2025-12-30
HAWAII,36265,2025-12-30,2025-12-30
IDAHO,31912,2025-12-30,2025-12-30
ILLINOIS,279609,2025-12-30,2025-12-30
INDIANA,148734,2025-12-30,2025-12-30
IOWA,67306,2025-12-30,2025-12-30
KANSAS,62672,2025-12-30,2025-12-30
KENTUCKY,90051,2025-12-30,2025-12-30
LOUISIANA,90558,2025-12-30,2025-12-30
MAINE,30272,2025-12-30,2025-12-30
MARYLAND,102333,2025-12-30,2025-12-30
MASSACHUSETTS,191284,2025-12-30,2025-12-30
MICHIGAN,201565,2025-12-30,2025-12-30
MINNESOTA,156948,2025-12-30,2025-12-30
MISSISSIPPI,69006,2025-12-30,2025-12-30
MISSOURI,142440,2025-12-30,2025-12-30
MONTANA,29287,2025-12-30,2025-12-30
NEBRASKA,37757,2025-12-30,2025-12-30
NEVADA,67610,2025-12-30,2025-12-30
NEW HAMPSHIRE,30851,2025-12-30,2025-12-30
NEW JERSEY,176634,2025-12-30,2025-12-30
NEW MEXICO,37279,2025-12-30,2025-12-30
NEW YORK,609598,2025-12-30,2025-12-30
NORTH CAROLINA,188432,2025-12-30,2025-12-30
NORTH DAKOTA,20819,2025-12-30,2025-12-30
NORTHERN MARIANA ISLANDS,3924,2025-12-30,2025-12-30
OHIO,280911,2025-12-30,2025-12-30
OKLAHOMA,72545,2025-12-30,2025-12-30
OREGON,97849,2025-12-30,2025-12-30
PENNSYLVANIA,287531,2025-12-30,2025-12-30
RHODE ISLAND,24492,2025-12-30,2025-12-30
SOUTH CAROLINA,102818,2025-12-30,2025-12-30
SOUTH DAKOTA,23078,2025-12-30,2025-12-30
TENNESSEE,147136,2025-12-30,2025-12-30
TEXAS,529476,2025-12-30,2025-12-30
UTAH,49490,2025-12-30,2025-12-30
VERMONT,13525,2025-12-30,2025-12-30
VIRGIN ISLANDS,1213,2025-12-30,2025-12-30
VIRGINIA,149711,2025-12-30,2025-12-30
WASHINGTON,116988,2025-12-30,2025-12-30
WEST VIRGINIA,43374,2025-12-30,2025-12-30
WISCONSIN,132559,2025-12-30,2025-12-30
WYOMING,9613,2025-12-30,2025-12-30
