state,counts_all,updated_date,scrape_date
ALABAMA,111677,2022-04-02,2022-04-04
ALASKA,19546,2022-04-02,2022-04-04
AMERICAN SAMOA,298,2022-04-02,2022-04-04
ARIZONA,116122,2022-04-02,2022-04-04
ARKANSAS,59014,2022-04-02,2022-04-04
CALIFORNIA,576494,2022-04-02,2022-04-04
COLORADO,91129,2022-04-02,2022-04-04
CONNECTICUT,97576,2022-04-02,2022-04-04
DELAWARE,22395,2022-04-02,2022-04-04
DISTRICT OF COLUMBIA,33210,2022-04-02,2022-04-04
FLORIDA,416614,2022-04-02,2022-04-04
GEORGIA,166403,2022-04-02,2022-04-04
GUAM,1855,2022-04-02,2022-04-04
HAWAII,30288,2022-04-02,2022-04-04
IDAHO,30201,2022-04-02,2022-04-04
ILLINOIS,249734,2022-04-02,2022-04-04
INDIANA,145219,2022-04-02,2022-04-04
IOWA,68981,2022-04-02,2022-04-04
KANSAS,62766,2022-04-02,2022-04-04
KENTUCKY,86570,2022-04-02,2022-04-04
LOUISIANA,84660,2022-04-02,2022-04-04
MAINE,30085,2022-04-02,2022-04-04
MARYLAND,97778,2022-04-02,2022-04-04
MASSACHUSETTS,177335,2022-04-02,2022-04-04
MICHIGAN (Non-Participating),NA,2022-04-02,2022-04-04
MINNESOTA,139812,2022-04-02,2022-04-04
MISSISSIPPI,64092,2022-04-02,2022-04-04
MISSOURI,142632,2022-04-02,2022-04-04
MONTANA,22291,2022-04-02,2022-04-04
NEBRASKA,37010,2022-04-02,2022-04-04
NEVADA,58084,2022-04-02,2022-04-04
NEW HAMPSHIRE,29039,2022-04-02,2022-04-04
NEW JERSEY,166291,2022-04-02,2022-04-04
NEW MEXICO,32890,2022-04-02,2022-04-04
NEW YORK,431035,2022-04-02,2022-04-04
NORTH CAROLINA,172364,2022-04-02,2022-04-04
NORTH DAKOTA,19329,2022-04-02,2022-04-04
NORTHERN MARIANA ISLANDS,3374,2022-04-02,2022-04-04
OHIO,280592,2022-04-02,2022-04-04
OKLAHOMA,67112,2022-04-02,2022-04-04
OREGON,80662,2022-04-02,2022-04-04
PENNSYLVANIA,290199,2022-04-02,2022-04-04
RHODE ISLAND,28379,2022-04-02,2022-04-04
SOUTH CAROLINA,91333,2022-04-02,2022-04-04
SOUTH DAKOTA,22084,2022-04-02,2022-04-04
TENNESSEE,140983,2022-04-02,2022-04-04
TEXAS,473524,2022-04-02,2022-04-04
UTAH,43891,2022-04-02,2022-04-04
VERMONT,22465,2022-04-02,2022-04-04
VIRGIN ISLANDS,1434,2022-04-02,2022-04-04
VIRGINIA,139729,2022-04-02,2022-04-04
WASHINGTON,130774,2022-04-02,2022-04-04
WEST VIRGINIA,42056,2022-04-02,2022-04-04
WISCONSIN,128632,2022-04-02,2022-04-04
WYOMING,9989,2022-04-02,2022-04-04
