state,counts_lpn,updated_date,scrape_date
ALABAMA,16775,2025-11-04,2025-11-04
ALASKA,829,2025-11-04,2025-11-04
AMERICAN SAMOA,66,2025-11-04,2025-11-04
ARIZONA,10826,2025-11-04,2025-11-04
ARKANSAS,13722,2025-11-04,2025-11-04
CALIFORNIA-RN (Non-Participating),NA,2025-11-04,2025-11-04
CALIFORNIA-VN,116044,2025-11-04,2025-11-04
COLORADO,7837,2025-11-04,2025-11-04
CONNECTICUT,12809,2025-11-04,2025-11-04
DELAWARE,3342,2025-11-04,2025-11-04
DISTRICT OF COLUMBIA,3001,2025-11-04,2025-11-04
FLORIDA,58696,2025-11-04,2025-11-04
GEORGIA,28059,2025-11-04,2025-11-04
GUAM,178,2025-11-04,2025-11-04
HAWAII,1787,2025-11-04,2025-11-04
IDAHO,3406,2025-11-04,2025-11-04
ILLINOIS,25047,2025-11-04,2025-11-04
INDIANA,21217,2025-11-04,2025-11-04
IOWA,8942,2025-11-04,2025-11-04
KANSAS,9099,2025-11-04,2025-11-04
KENTUCKY,12096,2025-11-04,2025-11-04
LOUISIANA-PN,22078,2025-11-04,2025-11-04
LOUISIANA-RN (Non-Participating),NA,2025-11-04,2025-11-04
MAINE,1600,2025-11-04,2025-11-04
MARYLAND,11286,2025-11-04,2025-11-04
MASSACHUSETTS,21325,2025-11-04,2025-11-04
MICHIGAN,20805,2025-11-04,2025-11-04
MINNESOTA,17336,2025-11-04,2025-11-04
MISSISSIPPI,14919,2025-11-04,2025-11-04
MISSOURI,23722,2025-11-04,2025-11-04
MONTANA,2195,2025-11-04,2025-11-04
NEBRASKA,5671,2025-11-04,2025-11-04
NEVADA,4771,2025-11-04,2025-11-04
NEW HAMPSHIRE,3166,2025-11-04,2025-11-04
NEW JERSEY,23975,2025-11-04,2025-11-04
NEW MEXICO,2459,2025-11-04,2025-11-04
NEW YORK,78708,2025-11-04,2025-11-04
NORTH CAROLINA,23032,2025-11-04,2025-11-04
NORTH DAKOTA,2845,2025-11-04,2025-11-04
NORTHERN MARIANA ISLANDS,53,2025-11-04,2025-11-04
OHIO,53694,2025-11-04,2025-11-04
OKLAHOMA,16392,2025-11-04,2025-11-04
OREGON,6740,2025-11-04,2025-11-04
PENNSYLVANIA,51218,2025-11-04,2025-11-04
RHODE ISLAND,2632,2025-11-04,2025-11-04
SOUTH CAROLINA,12751,2025-11-04,2025-11-04
SOUTH DAKOTA,2834,2025-11-04,2025-11-04
TENNESSEE,29374,2025-11-04,2025-11-04
TEXAS,100782,2025-11-04,2025-11-04
UTAH,2741,2025-11-04,2025-11-04
VERMONT,1775,2025-11-04,2025-11-04
VIRGIN ISLANDS,79,2025-11-04,2025-11-04
VIRGINIA,26189,2025-11-04,2025-11-04
WASHINGTON,10649,2025-11-04,2025-11-04
WEST VIRGINIA-PN,7401,2025-11-04,2025-11-04
WEST VIRGINIA-RN (Non-Participating),NA,2025-11-04,2025-11-04
WISCONSIN,10712,2025-11-04,2025-11-04
WYOMING,827,2025-11-04,2025-11-04
TOTALS,970514,2025-11-04,2025-11-04
