state,counts_all,updated_date,scrape_date
ALABAMA,116011,2022-10-06,2022-10-06
ALASKA,21724,2022-10-06,2022-10-06
AMERICAN SAMOA,299,2022-10-06,2022-10-06
ARIZONA,116659,2022-10-06,2022-10-06
ARKANSAS,59858,2022-10-06,2022-10-06
CALIFORNIA,595757,2022-10-06,2022-10-06
COLORADO,95401,2022-10-06,2022-10-06
CONNECTICUT,101364,2022-10-06,2022-10-06
DELAWARE,23650,2022-10-06,2022-10-06
DISTRICT OF COLUMBIA,37074,2022-10-06,2022-10-06
FLORIDA,422188,2022-10-06,2022-10-06
GEORGIA,169547,2022-10-06,2022-10-06
GUAM,1461,2022-10-06,2022-10-06
HAWAII,33754,2022-10-06,2022-10-06
IDAHO,31407,2022-10-06,2022-10-06
ILLINOIS,258906,2022-10-06,2022-10-06
INDIANA,150890,2022-10-06,2022-10-06
IOWA,69958,2022-10-06,2022-10-06
KANSAS,62977,2022-10-06,2022-10-06
KENTUCKY,89889,2022-10-06,2022-10-06
LOUISIANA,87244,2022-10-06,2022-10-06
MAINE,30683,2022-10-06,2022-10-06
MARYLAND,99225,2022-10-06,2022-10-06
MASSACHUSETTS,186934,2022-10-06,2022-10-06
MICHIGAN (Non-Participating),NA,2022-10-06,2022-10-06
MINNESOTA,145958,2022-10-06,2022-10-06
MISSISSIPPI,66143,2022-10-06,2022-10-06
MISSOURI,144072,2022-10-06,2022-10-06
MONTANA,23700,2022-10-06,2022-10-06
NEBRASKA,38478,2022-10-06,2022-10-06
NEVADA,60833,2022-10-06,2022-10-06
NEW HAMPSHIRE,29731,2022-10-06,2022-10-06
NEW JERSEY,163728,2022-10-06,2022-10-06
NEW MEXICO,33621,2022-10-06,2022-10-06
NEW YORK,449068,2022-10-06,2022-10-06
NORTH CAROLINA,176734,2022-10-06,2022-10-06
NORTH DAKOTA,20511,2022-10-06,2022-10-06
NORTHERN MARIANA ISLANDS,3434,2022-10-06,2022-10-06
OHIO,292424,2022-10-06,2022-10-06
OKLAHOMA,67437,2022-10-06,2022-10-06
OREGON,86742,2022-10-06,2022-10-06
PENNSYLVANIA,289934,2022-10-06,2022-10-06
RHODE ISLAND,30866,2022-10-06,2022-10-06
SOUTH CAROLINA,90015,2022-10-06,2022-10-06
SOUTH DAKOTA,22428,2022-10-06,2022-10-06
TENNESSEE,143227,2022-10-06,2022-10-06
TEXAS,482510,2022-10-06,2022-10-06
UTAH,46106,2022-10-06,2022-10-06
VERMONT,23652,2022-10-06,2022-10-06
VIRGIN ISLANDS,1761,2022-10-06,2022-10-06
VIRGINIA,142067,2022-10-06,2022-10-06
WASHINGTON,137307,2022-10-06,2022-10-06
WEST VIRGINIA,43437,2022-10-06,2022-10-06
WISCONSIN,132530,2022-10-06,2022-10-06
WYOMING,10536,2022-10-06,2022-10-06
