state,counts_all,updated_date,scrape_date
ALABAMA,106724,2025-08-30,2025-08-30
ALASKA,22048,2025-08-30,2025-08-30
AMERICAN SAMOA,201,2025-08-30,2025-08-30
ARIZONA,125476,2025-08-30,2025-08-30
ARKANSAS,63072,2025-08-30,2025-08-30
CALIFORNIA,695257,2025-08-30,2025-08-30
COLORADO,99709,2025-08-30,2025-08-30
CONNECTICUT,95419,2025-08-30,2025-08-30
DELAWARE,25812,2025-08-30,2025-08-30
DISTRICT OF COLUMBIA,50006,2025-08-30,2025-08-30
FLORIDA,441830,2025-08-30,2025-08-30
GEORGIA,175262,2025-08-30,2025-08-30
GUAM,1527,2025-08-30,2025-08-30
HAWAII,34539,2025-08-30,2025-08-30
IDAHO,34943,2025-08-30,2025-08-30
ILLINOIS,272792,2025-08-30,2025-08-30
INDIANA,158818,2025-08-30,2025-08-30
IOWA,67545,2025-08-30,2025-08-30
KANSAS,63192,2025-08-30,2025-08-30
KENTUCKY,92207,2025-08-30,2025-08-30
LOUISIANA,90178,2025-08-30,2025-08-30
MAINE,30646,2025-08-30,2025-08-30
MARYLAND,102446,2025-08-30,2025-08-30
MASSACHUSETTS,187648,2025-08-30,2025-08-30
MICHIGAN,201153,2025-08-30,2025-08-30
MINNESOTA,157407,2025-08-30,2025-08-30
MISSISSIPPI,68304,2025-08-30,2025-08-30
MISSOURI,140920,2025-08-30,2025-08-30
MONTANA,28349,2025-08-30,2025-08-30
NEBRASKA,38283,2025-08-30,2025-08-30
NEVADA,67035,2025-08-30,2025-08-30
NEW HAMPSHIRE,30922,2025-08-30,2025-08-30
NEW JERSEY,173411,2025-08-30,2025-08-30
NEW MEXICO,37090,2025-08-30,2025-08-30
NEW YORK,595067,2025-08-30,2025-08-30
NORTH CAROLINA,188875,2025-08-30,2025-08-30
NORTH DAKOTA,20558,2025-08-30,2025-08-30
NORTHERN MARIANA ISLANDS,4230,2025-08-30,2025-08-30
OHIO,292781,2025-08-30,2025-08-30
OKLAHOMA,72407,2025-08-30,2025-08-30
OREGON,97373,2025-08-30,2025-08-30
PENNSYLVANIA,291085,2025-08-30,2025-08-30
RHODE ISLAND,23939,2025-08-30,2025-08-30
SOUTH CAROLINA,101243,2025-08-30,2025-08-30
SOUTH DAKOTA,23019,2025-08-30,2025-08-30
TENNESSEE,147430,2025-08-30,2025-08-30
TEXAS,528428,2025-08-30,2025-08-30
UTAH,48382,2025-08-30,2025-08-30
VERMONT,13053,2025-08-30,2025-08-30
VIRGIN ISLANDS,1315,2025-08-30,2025-08-30
VIRGINIA,150093,2025-08-30,2025-08-30
WASHINGTON,119822,2025-08-30,2025-08-30
WEST VIRGINIA,42706,2025-08-30,2025-08-30
WISCONSIN,130854,2025-08-30,2025-08-30
WYOMING,9463,2025-08-30,2025-08-30
