state,counts_lpn,updated_date,scrape_date
ALABAMA,17789,2023-01-20,2023-01-22
ALASKA,636,2023-01-20,2023-01-22
AMERICAN SAMOA,132,2023-01-20,2023-01-22
ARIZONA,10981,2023-01-20,2023-01-22
ARKANSAS,14030,2023-01-20,2023-01-22
CALIFORNIA-RN (Non-Participating),NA,2023-01-20,2023-01-22
CALIFORNIA-VN,107873,2023-01-20,2023-01-22
COLORADO,7585,2023-01-20,2023-01-22
CONNECTICUT,14483,2023-01-20,2023-01-22
DELAWARE,2905,2023-01-20,2023-01-22
DISTRICT OF COLUMBIA,2343,2023-01-20,2023-01-22
FLORIDA,66619,2023-01-20,2023-01-22
GEORGIA,30701,2023-01-20,2023-01-22
GUAM,231,2023-01-20,2023-01-22
HAWAII,2014,2023-01-20,2023-01-22
IDAHO,3281,2023-01-20,2023-01-22
ILLINOIS,27173,2023-01-20,2023-01-22
INDIANA,20610,2023-01-20,2023-01-22
IOWA,9052,2023-01-20,2023-01-22
KANSAS,9322,2023-01-20,2023-01-22
KENTUCKY,12731,2023-01-20,2023-01-22
LOUISIANA-PN,22007,2023-01-20,2023-01-22
LOUISIANA-RN (Non-Participating),NA,2023-01-20,2023-01-22
MAINE,1834,2023-01-20,2023-01-22
MARYLAND,11129,2023-01-20,2023-01-22
MASSACHUSETTS,21102,2023-01-20,2023-01-22
MICHIGAN (Non-Participating),NA,2023-01-20,2023-01-22
MINNESOTA,18697,2023-01-20,2023-01-22
MISSISSIPPI,13654,2023-01-20,2023-01-22
MISSOURI,22968,2023-01-20,2023-01-22
MONTANA,2414,2023-01-20,2023-01-22
NEBRASKA,5621,2023-01-20,2023-01-22
NEVADA,4620,2023-01-20,2023-01-22
NEW HAMPSHIRE,3104,2023-01-20,2023-01-22
NEW JERSEY,23875,2023-01-20,2023-01-22
NEW MEXICO,2401,2023-01-20,2023-01-22
NEW YORK,70999,2023-01-20,2023-01-22
NORTH CAROLINA,22940,2023-01-20,2023-01-22
NORTH DAKOTA,2898,2023-01-20,2023-01-22
NORTHERN MARIANA ISLANDS,61,2023-01-20,2023-01-22
OHIO,49710,2023-01-20,2023-01-22
OKLAHOMA,16859,2023-01-20,2023-01-22
OREGON,6136,2023-01-20,2023-01-22
PENNSYLVANIA,49230,2023-01-20,2023-01-22
RHODE ISLAND,2813,2023-01-20,2023-01-22
SOUTH CAROLINA,12185,2023-01-20,2023-01-22
SOUTH DAKOTA,2678,2023-01-20,2023-01-22
TENNESSEE,29836,2023-01-20,2023-01-22
TEXAS,103976,2023-01-20,2023-01-22
UTAH,2655,2023-01-20,2023-01-22
VERMONT,1851,2023-01-20,2023-01-22
VIRGIN ISLANDS,93,2023-01-20,2023-01-22
VIRGINIA,26676,2023-01-20,2023-01-22
WASHINGTON,11133,2023-01-20,2023-01-22
WEST VIRGINIA-PN,7978,2023-01-20,2023-01-22
WEST VIRGINIA-RN (Non-Participating),NA,2023-01-20,2023-01-22
WISCONSIN,16198,2023-01-20,2023-01-22
WYOMING,706,2023-01-20,2023-01-22
TOTALS,951528,2023-01-20,2023-01-22
