state,counts_lpn,updated_date,scrape_date
ALABAMA,16696,2026-07-24,2026-07-25
ALASKA,953,2026-07-24,2026-07-25
AMERICAN SAMOA,72,2026-07-24,2026-07-25
ARIZONA,11356,2026-07-24,2026-07-25
ARKANSAS,13890,2026-07-24,2026-07-25
CALIFORNIA-RN (Non-Participating),NA,2026-07-24,2026-07-25
CALIFORNIA-VN,118216,2026-07-24,2026-07-25
COLORADO,8196,2026-07-24,2026-07-25
CONNECTICUT,12576,2026-07-24,2026-07-25
DELAWARE,3144,2026-07-24,2026-07-25
DISTRICT OF COLUMBIA,2182,2026-07-24,2026-07-25
FLORIDA,62108,2026-07-24,2026-07-25
GEORGIA,29055,2026-07-24,2026-07-25
GUAM,193,2026-07-24,2026-07-25
HAWAII,2014,2026-07-24,2026-07-25
IDAHO,3557,2026-07-24,2026-07-25
ILLINOIS,26679,2026-07-24,2026-07-25
INDIANA,22105,2026-07-24,2026-07-25
IOWA,9049,2026-07-24,2026-07-25
KANSAS,9293,2026-07-24,2026-07-25
KENTUCKY,12831,2026-07-24,2026-07-25
LOUISIANA-PN,22010,2026-07-24,2026-07-25
LOUISIANA-RN (Non-Participating),NA,2026-07-24,2026-07-25
MAINE,1555,2026-07-24,2026-07-25
MARYLAND,11383,2026-07-24,2026-07-25
MASSACHUSETTS,19530,2026-07-24,2026-07-25
MICHIGAN,20890,2026-07-24,2026-07-25
MINNESOTA,17245,2026-07-24,2026-07-25
MISSISSIPPI,13718,2026-07-24,2026-07-25
MISSOURI,21062,2026-07-24,2026-07-25
MONTANA,2153,2026-07-24,2026-07-25
NEBRASKA,5070,2026-07-24,2026-07-25
NEVADA,4800,2026-07-24,2026-07-25
NEW HAMPSHIRE,3105,2026-07-24,2026-07-25
NEW JERSEY,23469,2026-07-24,2026-07-25
NEW MEXICO,2550,2026-07-24,2026-07-25
NEW YORK,80616,2026-07-24,2026-07-25
NORTH CAROLINA,22814,2026-07-24,2026-07-25
NORTH DAKOTA,2614,2026-07-24,2026-07-25
NORTHERN MARIANA ISLANDS,49,2026-07-24,2026-07-25
OHIO,56634,2026-07-24,2026-07-25
OKLAHOMA,17120,2026-07-24,2026-07-25
OREGON,6896,2026-07-24,2026-07-25
PENNSYLVANIA,46456,2026-07-24,2026-07-25
RHODE ISLAND,2605,2026-07-24,2026-07-25
SOUTH CAROLINA,12189,2026-07-24,2026-07-25
SOUTH DAKOTA,2796,2026-07-24,2026-07-25
TENNESSEE,29195,2026-07-24,2026-07-25
TEXAS,100305,2026-07-24,2026-07-25
UTAH,2637,2026-07-24,2026-07-25
VERMONT,1283,2026-07-24,2026-07-25
VIRGIN ISLANDS,80,2026-07-24,2026-07-25
VIRGINIA,26215,2026-07-24,2026-07-25
WASHINGTON,9970,2026-07-24,2026-07-25
WEST VIRGINIA-PN,6951,2026-07-24,2026-07-25
WEST VIRGINIA-RN (Non-Participating),NA,2026-07-24,2026-07-25
WISCONSIN,12022,2026-07-24,2026-07-25
WYOMING,960,2026-07-24,2026-07-25
TOTALS,973112,2026-07-24,2026-07-25
