state,counts_rn,updated_date,scrape_date
ALABAMA,89373,2025-06-13,2025-06-13
ALASKA,20374,2025-06-13,2025-06-13
AMERICAN SAMOA,109,2025-06-13,2025-06-13
ARIZONA,117622,2025-06-13,2025-06-13
ARKANSAS,48792,2025-06-13,2025-06-13
CALIFORNIA-RN,568316,2025-06-13,2025-06-13
CALIFORNIA-VN (Non-Participating),NA,2025-06-13,2025-06-13
COLORADO,90369,2025-06-13,2025-06-13
CONNECTICUT,81988,2025-06-13,2025-06-13
DELAWARE,22037,2025-06-13,2025-06-13
DISTRICT OF COLUMBIA,45386,2025-06-13,2025-06-13
FLORIDA,378297,2025-06-13,2025-06-13
GEORGIA,144875,2025-06-13,2025-06-13
GUAM,1282,2025-06-13,2025-06-13
HAWAII,40947,2025-06-13,2025-06-13
IDAHO,31032,2025-06-13,2025-06-13
ILLINOIS,242313,2025-06-13,2025-06-13
INDIANA,135400,2025-06-13,2025-06-13
IOWA,58210,2025-06-13,2025-06-13
KANSAS,53404,2025-06-13,2025-06-13
KENTUCKY,78481,2025-06-13,2025-06-13
LOUISIANA-PN (Non-Participating),NA,2025-06-13,2025-06-13
LOUISIANA-RN,67254,2025-06-13,2025-06-13
MAINE,28959,2025-06-13,2025-06-13
MARYLAND,90269,2025-06-13,2025-06-13
MASSACHUSETTS,162872,2025-06-13,2025-06-13
MICHIGAN,178269,2025-06-13,2025-06-13
MINNESOTA,136867,2025-06-13,2025-06-13
MISSISSIPPI,52635,2025-06-13,2025-06-13
MISSOURI,116346,2025-06-13,2025-06-13
MONTANA,25346,2025-06-13,2025-06-13
NEBRASKA,31886,2025-06-13,2025-06-13
NEVADA,61519,2025-06-13,2025-06-13
NEW HAMPSHIRE,27592,2025-06-13,2025-06-13
NEW JERSEY,151865,2025-06-13,2025-06-13
NEW MEXICO,34248,2025-06-13,2025-06-13
NEW YORK,505861,2025-06-13,2025-06-13
NORTH CAROLINA,164259,2025-06-13,2025-06-13
NORTH DAKOTA,17519,2025-06-13,2025-06-13
NORTHERN MARIANA ISLANDS,4341,2025-06-13,2025-06-13
OHIO,239021,2025-06-13,2025-06-13
OKLAHOMA,54386,2025-06-13,2025-06-13
OREGON,89521,2025-06-13,2025-06-13
PENNSYLVANIA,236240,2025-06-13,2025-06-13
RHODE ISLAND,20867,2025-06-13,2025-06-13
SOUTH CAROLINA,87162,2025-06-13,2025-06-13
SOUTH DAKOTA,20083,2025-06-13,2025-06-13
TENNESSEE,116990,2025-06-13,2025-06-13
TEXAS,422608,2025-06-13,2025-06-13
UTAH,44640,2025-06-13,2025-06-13
VERMONT,10974,2025-06-13,2025-06-13
VIRGIN ISLANDS,1262,2025-06-13,2025-06-13
VIRGINIA,122022,2025-06-13,2025-06-13
WASHINGTON,106385,2025-06-13,2025-06-13
WEST VIRGINIA-PN (Non-Participating),NA,2025-06-13,2025-06-13
WEST VIRGINIA-RN,34952,2025-06-13,2025-06-13
WISCONSIN,118022,2025-06-13,2025-06-13
WYOMING,8508,2025-06-13,2025-06-13
TOTALS,5840157,2025-06-13,2025-06-13
