state,counts_lpn,updated_date,scrape_date
ALABAMA,16149,2025-07-02,2025-07-02
ALASKA,785,2025-07-02,2025-07-02
AMERICAN SAMOA,39,2025-07-02,2025-07-02
ARIZONA,11281,2025-07-02,2025-07-02
ARKANSAS,13819,2025-07-02,2025-07-02
CALIFORNIA-RN (Non-Participating),NA,2025-07-02,2025-07-02
CALIFORNIA-VN,114249,2025-07-02,2025-07-02
COLORADO,7572,2025-07-02,2025-07-02
CONNECTICUT,12795,2025-07-02,2025-07-02
DELAWARE,3175,2025-07-02,2025-07-02
DISTRICT OF COLUMBIA,2922,2025-07-02,2025-07-02
FLORIDA,66421,2025-07-02,2025-07-02
GEORGIA,27454,2025-07-02,2025-07-02
GUAM,192,2025-07-02,2025-07-02
HAWAII,1664,2025-07-02,2025-07-02
IDAHO,3285,2025-07-02,2025-07-02
ILLINOIS,23931,2025-07-02,2025-07-02
INDIANA,20657,2025-07-02,2025-07-02
IOWA,8676,2025-07-02,2025-07-02
KANSAS,9122,2025-07-02,2025-07-02
KENTUCKY,12743,2025-07-02,2025-07-02
LOUISIANA-PN,21789,2025-07-02,2025-07-02
LOUISIANA-RN (Non-Participating),NA,2025-07-02,2025-07-02
MAINE,1629,2025-07-02,2025-07-02
MARYLAND,11230,2025-07-02,2025-07-02
MASSACHUSETTS,20396,2025-07-02,2025-07-02
MICHIGAN,20743,2025-07-02,2025-07-02
MINNESOTA,17452,2025-07-02,2025-07-02
MISSISSIPPI,14446,2025-07-02,2025-07-02
MISSOURI,23083,2025-07-02,2025-07-02
MONTANA,2158,2025-07-02,2025-07-02
NEBRASKA,5568,2025-07-02,2025-07-02
NEVADA,4781,2025-07-02,2025-07-02
NEW HAMPSHIRE,3175,2025-07-02,2025-07-02
NEW JERSEY,24697,2025-07-02,2025-07-02
NEW MEXICO,2442,2025-07-02,2025-07-02
NEW YORK,77231,2025-07-02,2025-07-02
NORTH CAROLINA,22715,2025-07-02,2025-07-02
NORTH DAKOTA,2718,2025-07-02,2025-07-02
NORTHERN MARIANA ISLANDS,55,2025-07-02,2025-07-02
OHIO,52032,2025-07-02,2025-07-02
OKLAHOMA,16621,2025-07-02,2025-07-02
OREGON,6614,2025-07-02,2025-07-02
PENNSYLVANIA,50171,2025-07-02,2025-07-02
RHODE ISLAND,2448,2025-07-02,2025-07-02
SOUTH CAROLINA,12486,2025-07-02,2025-07-02
SOUTH DAKOTA,2767,2025-07-02,2025-07-02
TENNESSEE,29308,2025-07-02,2025-07-02
TEXAS,100777,2025-07-02,2025-07-02
UTAH,2684,2025-07-02,2025-07-02
VERMONT,1579,2025-07-02,2025-07-02
VIRGIN ISLANDS,78,2025-07-02,2025-07-02
VIRGINIA,26175,2025-07-02,2025-07-02
WASHINGTON,10285,2025-07-02,2025-07-02
WEST VIRGINIA-PN,6958,2025-07-02,2025-07-02
WEST VIRGINIA-RN (Non-Participating),NA,2025-07-02,2025-07-02
WISCONSIN,10108,2025-07-02,2025-07-02
WYOMING,797,2025-07-02,2025-07-02
TOTALS,965127,2025-07-02,2025-07-02
