state,counts_rn,updated_date,scrape_date
ALABAMA,98645,2022-11-19,2022-11-21
ALASKA,21274,2022-11-19,2022-11-21
AMERICAN SAMOA,167,2022-11-19,2022-11-21
ARIZONA,107169,2022-11-19,2022-11-21
ARKANSAS,45785,2022-11-19,2022-11-21
CALIFORNIA-RN,493668,2022-11-19,2022-11-21
CALIFORNIA-VN (Non-Participating),NA,2022-11-19,2022-11-21
COLORADO,87779,2022-11-19,2022-11-21
CONNECTICUT,88075,2022-11-19,2022-11-21
DELAWARE,21027,2022-11-19,2022-11-21
DISTRICT OF COLUMBIA,35631,2022-11-19,2022-11-21
FLORIDA,360087,2022-11-19,2022-11-21
GEORGIA,140069,2022-11-19,2022-11-21
GUAM,1259,2022-11-19,2022-11-21
HAWAII,32648,2022-11-19,2022-11-21
IDAHO,28406,2022-11-19,2022-11-21
ILLINOIS,211371,2022-11-19,2022-11-21
INDIANA,127876,2022-11-19,2022-11-21
IOWA,57792,2022-11-19,2022-11-21
KANSAS,53358,2022-11-19,2022-11-21
KENTUCKY,73313,2022-11-19,2022-11-21
LOUISIANA-PN (Non-Participating),NA,2022-11-19,2022-11-21
LOUISIANA-RN,65599,2022-11-19,2022-11-21
MAINE,28825,2022-11-19,2022-11-21
MARYLAND,88194,2022-11-19,2022-11-21
MASSACHUSETTS,167797,2022-11-19,2022-11-21
MICHIGAN (Non-Participating),NA,2022-11-19,2022-11-21
MINNESOTA,128417,2022-11-19,2022-11-21
MISSISSIPPI,52655,2022-11-19,2022-11-21
MISSOURI,121892,2022-11-19,2022-11-21
MONTANA,21596,2022-11-19,2022-11-21
NEBRASKA,31007,2022-11-19,2022-11-21
NEVADA,56559,2022-11-19,2022-11-21
NEW HAMPSHIRE,26659,2022-11-19,2022-11-21
NEW JERSEY,141604,2022-11-19,2022-11-21
NEW MEXICO,31469,2022-11-19,2022-11-21
NEW YORK,383183,2022-11-19,2022-11-21
NORTH CAROLINA,154142,2022-11-19,2022-11-21
NORTH DAKOTA,17384,2022-11-19,2022-11-21
NORTHERN MARIANA ISLANDS,3573,2022-11-19,2022-11-21
OHIO,238509,2022-11-19,2022-11-21
OKLAHOMA,50715,2022-11-19,2022-11-21
OREGON,81015,2022-11-19,2022-11-21
PENNSYLVANIA,244172,2022-11-19,2022-11-21
RHODE ISLAND,28893,2022-11-19,2022-11-21
SOUTH CAROLINA,78644,2022-11-19,2022-11-21
SOUTH DAKOTA,19707,2022-11-19,2022-11-21
TENNESSEE,113145,2022-11-19,2022-11-21
TEXAS,379589,2022-11-19,2022-11-21
UTAH,43966,2022-11-19,2022-11-21
VERMONT,21934,2022-11-19,2022-11-21
VIRGIN ISLANDS,1064,2022-11-19,2022-11-21
VIRGINIA,115827,2022-11-19,2022-11-21
WASHINGTON,126618,2022-11-19,2022-11-21
WEST VIRGINIA-PN (Non-Participating),NA,2022-11-19,2022-11-21
WEST VIRGINIA-RN,34162,2022-11-19,2022-11-21
WISCONSIN,117278,2022-11-19,2022-11-21
WYOMING,9577,2022-11-19,2022-11-21
TOTALS,5310769,2022-11-19,2022-11-21
