state,counts_all,updated_date,scrape_date
ALABAMA,107640,2026-01-05,2026-01-16
ALASKA,23174,2026-01-05,2026-01-16
AMERICAN SAMOA,228,2026-01-05,2026-01-16
ARIZONA,127854,2026-01-05,2026-01-16
ARKANSAS,62992,2026-01-05,2026-01-16
CALIFORNIA,707672,2026-01-05,2026-01-16
COLORADO,96783,2026-01-05,2026-01-16
CONNECTICUT,94572,2026-01-05,2026-01-16
DELAWARE,22452,2026-01-05,2026-01-16
DISTRICT OF COLUMBIA,51998,2026-01-05,2026-01-16
FLORIDA,449830,2026-01-05,2026-01-16
GEORGIA,177678,2026-01-05,2026-01-16
GUAM,1346,2026-01-05,2026-01-16
HAWAII,36317,2026-01-05,2026-01-16
IDAHO,31953,2026-01-05,2026-01-16
ILLINOIS,279849,2026-01-05,2026-01-16
INDIANA,148884,2026-01-05,2026-01-16
IOWA,67339,2026-01-05,2026-01-16
KANSAS,62456,2026-01-05,2026-01-16
KENTUCKY,90296,2026-01-05,2026-01-16
LOUISIANA,90541,2026-01-05,2026-01-16
MAINE,30246,2026-01-05,2026-01-16
MARYLAND,101876,2026-01-05,2026-01-16
MASSACHUSETTS,191402,2026-01-05,2026-01-16
MICHIGAN,201569,2026-01-05,2026-01-16
MINNESOTA,156221,2026-01-05,2026-01-16
MISSISSIPPI,67068,2026-01-05,2026-01-16
MISSOURI,142520,2026-01-05,2026-01-16
MONTANA,29329,2026-01-05,2026-01-16
NEBRASKA,37775,2026-01-05,2026-01-16
NEVADA,67519,2026-01-05,2026-01-16
NEW HAMPSHIRE,30830,2026-01-05,2026-01-16
NEW JERSEY,176768,2026-01-05,2026-01-16
NEW MEXICO,37070,2026-01-05,2026-01-16
NEW YORK,610499,2026-01-05,2026-01-16
NORTH CAROLINA,187871,2026-01-05,2026-01-16
NORTH DAKOTA,19284,2026-01-05,2026-01-16
NORTHERN MARIANA ISLANDS,3904,2026-01-05,2026-01-16
OHIO,281075,2026-01-05,2026-01-16
OKLAHOMA,72315,2026-01-05,2026-01-16
OREGON,97803,2026-01-05,2026-01-16
PENNSYLVANIA,287682,2026-01-05,2026-01-16
RHODE ISLAND,24511,2026-01-05,2026-01-16
SOUTH CAROLINA,102891,2026-01-05,2026-01-16
SOUTH DAKOTA,23070,2026-01-05,2026-01-16
TENNESSEE,147169,2026-01-05,2026-01-16
TEXAS,527659,2026-01-05,2026-01-16
UTAH,49523,2026-01-05,2026-01-16
VERMONT,13536,2026-01-05,2026-01-16
VIRGIN ISLANDS,1164,2026-01-05,2026-01-16
VIRGINIA,149059,2026-01-05,2026-01-16
WASHINGTON,116994,2026-01-05,2026-01-16
WEST VIRGINIA,43380,2026-01-05,2026-01-16
WISCONSIN,132601,2026-01-05,2026-01-16
WYOMING,9628,2026-01-05,2026-01-16
