state,counts_lpn,updated_date,scrape_date
ALABAMA,16774,2025-10-30,2025-10-30
ALASKA,827,2025-10-30,2025-10-30
AMERICAN SAMOA,67,2025-10-30,2025-10-30
ARIZONA,10816,2025-10-30,2025-10-30
ARKANSAS,13811,2025-10-30,2025-10-30
CALIFORNIA-RN (Non-Participating),NA,2025-10-30,2025-10-30
CALIFORNIA-VN,115949,2025-10-30,2025-10-30
COLORADO,7829,2025-10-30,2025-10-30
CONNECTICUT,12809,2025-10-30,2025-10-30
DELAWARE,3340,2025-10-30,2025-10-30
DISTRICT OF COLUMBIA,2999,2025-10-30,2025-10-30
FLORIDA,58581,2025-10-30,2025-10-30
GEORGIA,28042,2025-10-30,2025-10-30
GUAM,178,2025-10-30,2025-10-30
HAWAII,1787,2025-10-30,2025-10-30
IDAHO,3401,2025-10-30,2025-10-30
ILLINOIS,25018,2025-10-30,2025-10-30
INDIANA,21194,2025-10-30,2025-10-30
IOWA,8930,2025-10-30,2025-10-30
KANSAS,9162,2025-10-30,2025-10-30
KENTUCKY,13021,2025-10-30,2025-10-30
LOUISIANA-PN,22066,2025-10-30,2025-10-30
LOUISIANA-RN (Non-Participating),NA,2025-10-30,2025-10-30
MAINE,1600,2025-10-30,2025-10-30
MARYLAND,11414,2025-10-30,2025-10-30
MASSACHUSETTS,21312,2025-10-30,2025-10-30
MICHIGAN,20777,2025-10-30,2025-10-30
MINNESOTA,17473,2025-10-30,2025-10-30
MISSISSIPPI,14916,2025-10-30,2025-10-30
MISSOURI,23713,2025-10-30,2025-10-30
MONTANA,2193,2025-10-30,2025-10-30
NEBRASKA,5672,2025-10-30,2025-10-30
NEVADA,4776,2025-10-30,2025-10-30
NEW HAMPSHIRE,3167,2025-10-30,2025-10-30
NEW JERSEY,23953,2025-10-30,2025-10-30
NEW MEXICO,2475,2025-10-30,2025-10-30
NEW YORK,78685,2025-10-30,2025-10-30
NORTH CAROLINA,23180,2025-10-30,2025-10-30
NORTH DAKOTA,2843,2025-10-30,2025-10-30
NORTHERN MARIANA ISLANDS,54,2025-10-30,2025-10-30
OHIO,53624,2025-10-30,2025-10-30
OKLAHOMA,16603,2025-10-30,2025-10-30
OREGON,6742,2025-10-30,2025-10-30
PENNSYLVANIA,51180,2025-10-30,2025-10-30
RHODE ISLAND,2626,2025-10-30,2025-10-30
SOUTH CAROLINA,12746,2025-10-30,2025-10-30
SOUTH DAKOTA,2837,2025-10-30,2025-10-30
TENNESSEE,29345,2025-10-30,2025-10-30
TEXAS,101346,2025-10-30,2025-10-30
UTAH,2747,2025-10-30,2025-10-30
VERMONT,1775,2025-10-30,2025-10-30
VIRGIN ISLANDS,79,2025-10-30,2025-10-30
VIRGINIA,26351,2025-10-30,2025-10-30
WASHINGTON,10659,2025-10-30,2025-10-30
WEST VIRGINIA-PN,7394,2025-10-30,2025-10-30
WEST VIRGINIA-RN (Non-Participating),NA,2025-10-30,2025-10-30
WISCONSIN,10701,2025-10-30,2025-10-30
WYOMING,824,2025-10-30,2025-10-30
TOTALS,972383,2025-10-30,2025-10-30
