date,state,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2022-05-26,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.13376623376623376,0.9145021645021644
2022-05-25,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.14025974025974025,0.9145021645021645
2022-05-24,AK,3,17,2,22,0.15,0.9090909090909091,0.14675324675324677,0.9145021645021645
2022-05-23,AK,3,17,2,22,0.15,0.9090909090909091,0.14675324675324677,0.9145021645021645
2022-05-22,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.14675324675324677,0.9145021645021644
2022-05-21,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.15211744776962166,0.9204545454545455
2022-05-20,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.15748164878599663,0.9264069264069263
2022-05-19,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.1704686617730096,0.9264069264069265
2022-05-18,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.16312817617165445,0.9323593073593074
2022-05-17,AK,3,17,2,22,0.15,0.9090909090909091,0.1631281761716544,0.9323593073593074
2022-05-16,AK,3,17,2,22,0.15,0.9090909090909091,0.1702710333145116,0.9323593073593075
2022-05-15,AK,4,19,1,24,0.17391304347826086,0.9583333333333334,0.17741389045736872,0.9323593073593075
2022-05-14,AK,4,19,1,24,0.17391304347826086,0.9583333333333334,0.1720496894409938,0.9264069264069263
2022-05-13,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.16668548842461886,0.9204545454545455
2022-05-12,AK,3,20,1,24,0.13043478260869565,0.9583333333333334,0.16019198193111236,0.9204545454545453
2022-05-11,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.16103896103896104,0.9145021645021645
2022-05-10,AK,4,16,2,22,0.2,0.9090909090909091,0.15454545454545454,0.9145021645021645
2022-05-09,AK,4,16,2,22,0.2,0.9090909090909091,0.14025974025974025,0.9145021645021645
2022-05-08,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.125974025974026,0.9145021645021644
2022-05-07,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.11948051948051948,0.9145021645021645
2022-05-06,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.11298701298701298,0.9145021645021645
2022-05-05,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.1064935064935065,0.9145021645021645
2022-05-04,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.1,0.9145021645021645
2022-05-03,AK,2,18,2,22,0.1,0.9090909090909091,0.09350649350649351,0.9145021645021645
2022-05-02,AK,2,18,2,22,0.1,0.9090909090909091,0.09350649350649351,0.9145021645021644
2022-05-01,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.09350649350649351,0.9145021645021645
2022-04-30,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.09350649350649351,0.9145021645021645
2022-04-29,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.09350649350649352,0.9145021645021644
2022-04-28,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.09350649350649351,0.9145021645021645
2022-04-27,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.09999999999999999,0.9145021645021645
2022-04-26,AK,2,18,2,22,0.1,0.9090909090909091,0.10649350649350649,0.9145021645021644
2022-04-25,AK,2,18,2,22,0.1,0.9090909090909091,0.11363636363636363,0.9145021645021645
2022-04-24,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.12077922077922078,0.9145021645021645
2022-04-23,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.12727272727272726,0.9145021645021645
2022-04-22,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.12727272727272726,0.9145021645021644
2022-04-21,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.12727272727272726,0.9145021645021645
2022-04-20,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.12727272727272726,0.9145021645021645
2022-04-19,AK,3,17,2,22,0.15,0.9090909090909091,0.13376623376623378,0.9145021645021645
2022-04-18,AK,3,17,2,22,0.15,0.9090909090909091,0.1409090909090909,0.9145021645021645
2022-04-17,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.1551948051948052,0.9145021645021645
2022-04-16,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.16818181818181818,0.9145021645021645
2022-04-15,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.18766233766233767,0.9145021645021645
2022-04-14,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.20714285714285713,0.9145021645021645
2022-04-13,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.21363636363636362,0.9145021645021644
2022-04-12,AK,4,16,2,22,0.2,0.9090909090909091,0.21363636363636362,0.9145021645021645
2022-04-11,AK,5,15,2,22,0.25,0.9090909090909091,0.2064935064935065,0.9145021645021645
2022-04-10,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.1911873840445269,0.9150668172407302
2022-04-09,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.1782003710575139,0.9150668172407302
2022-04-08,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.16521335807050092,0.9150668172407304
2022-04-07,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.15222634508348795,0.9150668172407302
2022-04-06,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.14573283858998146,0.9150668172407302
2022-04-05,AK,3,17,2,22,0.15,0.9090909090909091,0.14696969696969697,0.9145492188970449
2022-04-04,AK,3,18,2,23,0.14285714285714285,0.9130434782608695,0.1541125541125541,0.9145492188970449
2022-04-03,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.15513296227581944,0.9139845661584792
2022-04-02,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.1616264687693259,0.9139845661584792
2022-04-01,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.1681199752628324,0.9139845661584791
2022-03-31,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.1746134817563389,0.9139845661584792
2022-03-30,AK,4,17,2,23,0.19047619047619047,0.9130434782608695,0.1876004947433519,0.9139845661584791
2022-03-29,AK,4,16,2,22,0.2,0.9090909090909091,0.19285714285714287,0.9145021645021645
2022-03-28,AK,3,17,2,22,0.15,0.9090909090909091,0.19999999999999998,0.9145021645021645
2022-03-27,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.21258503401360546,0.9150668172407302
2022-03-26,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.21907854050711192,0.9150668172407302
2022-03-25,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.22557204700061842,0.9150668172407304
