date,state,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2022-08-18,AK,3,17,2,22,0.15,0.9090909090909091,0.18489405331510594,0.9117192331478046
2022-08-17,AK,3,17,2,22,0.15,0.9090909090909091,0.1894395078605605,0.9128014842300557
2022-08-16,AK,3,16,2,21,0.15789473684210525,0.9047619047619048,0.19398496240601504,0.9138837353123066
2022-08-15,AK,4,16,2,22,0.2,0.9090909090909091,0.19285714285714287,0.9145021645021645
2022-08-14,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.18469387755102037,0.9150668172407304
2022-08-13,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.1717068645640074,0.9150668172407302
2022-08-12,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.15871985157699445,0.9150668172407302
2022-08-11,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.15222634508348795,0.9150668172407304
2022-08-10,AK,4,18,2,24,0.18181818181818182,0.9166666666666666,0.13923933209647493,0.9150668172407302
2022-08-09,AK,3,17,2,22,0.15,0.9090909090909091,0.1268707482993197,0.9145492188970451
2022-08-08,AK,3,18,2,23,0.14285714285714285,0.9130434782608695,0.11972789115646257,0.9145492188970449
2022-08-07,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.11360544217687076,0.9139845661584791
2022-08-06,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.11275846306902208,0.9199369471108602
2022-08-05,AK,3,19,2,24,0.13636363636363635,0.9166666666666666,0.11191148396117338,0.9258893280632411
2022-08-04,AK,2,20,2,24,0.09090909090909091,0.9166666666666666,0.1184049904546799,0.9258893280632411
2022-08-03,AK,2,19,2,23,0.09523809523809523,0.9130434782608695,0.1248984969481864,0.9258893280632411
2022-08-02,AK,2,18,2,22,0.1,0.9090909090909091,0.13077357425183514,0.9264069264069263
2022-08-01,AK,2,18,2,22,0.1,0.9090909090909091,0.1450592885375494,0.9264069264069265
2022-07-31,AK,3,20,1,24,0.13043478260869565,0.9583333333333334,0.1593450028232637,0.9264069264069265
