date,state,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2022-02-17,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.45648265423097917,0.9220322571036974
2022-02-16,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.4595633030725483,0.9196485882198316
2022-02-15,AK,5,15,2,22,0.25,0.9090909090909091,0.46240116641008144,0.9200860939764864
2022-02-14,AK,5,15,2,22,0.25,0.9090909090909091,0.46000110230009134,0.9226576025234651
2022-02-13,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.45776616769285444,0.923325000002943
2022-02-12,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.46739830179551056,0.9242837727737966
2022-02-11,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.46089897497152676,0.9256835634593015
2022-02-10,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.4596212533104983,0.9246986263765695
2022-02-09,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.4801158096386544,0.9208187296357028
2022-02-08,AK,6,14,2,22,0.3,0.9090909090909091,0.48709225831411346,0.9207745096515747
2022-02-07,AK,5,15,2,22,0.25,0.9090909090909091,0.46497360509041064,0.9237767677941165
2022-02-06,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.4755554991318127,0.9248590188763677
2022-02-05,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.487559125030376,0.9248590188763677
2022-02-04,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.4869182076768059,0.9258113998287485
2022-02-03,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.48778659965210686,0.9248590188763676
2022-02-02,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.5047562947432476,0.9226777787962231
2022-02-01,AK,6,14,2,22,0.3,0.9090909090909091,0.5199629155630602,0.9365588709920312
2022-01-31,AK,6,14,2,22,0.3,0.9090909090909091,0.48741045108910225,0.9366492716343623
2022-01-30,AK,6,15,2,23,0.2857142857142857,0.9130434782608695,0.48210314695138656,0.937213924372928
2022-01-29,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.5042543291937562,0.9396362846213753
2022-01-28,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.5007341205888018,0.9396362846213753
2022-01-27,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.5024994948807824,0.9386839036689943
2022-01-26,AK,6,16,2,24,0.2727272727272727,0.9166666666666666,0.5202113101648369,0.9356290496396745
2022-01-25,AK,6,15,2,23,0.2857142857142857,0.9130434782608695,0.5145895731477698,0.9349544811060554
2022-01-24,AK,6,14,2,22,0.3,0.9090909090909091,0.492530047889992,0.9366231073224837
2022-01-23,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.49592167691023087,0.9377053584047348
2022-01-22,AK,5,17,2,24,0.22727272727272727,0.9166666666666666,0.501012423940356,0.9372841129834893
