date,state,yes,no,missing,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2021-07-27,NJ,5,65,11,81,0.07142857142857142,0.8641975308641975,0.10805222343942077,0.8823086704814677
2021-07-26,NJ,5,65,11,81,0.07142857142857142,0.8641975308641975,0.11172062610727244,0.9348727730455701
2021-07-25,NJ,7,78,11,96,0.08235294117647059,0.8854166666666666,0.09981182414734684,0.9403793101861498
2021-07-24,NJ,8,77,11,96,0.09411764705882353,0.8854166666666666,0.10057422277070803,0.9403793101861498
2021-07-23,NJ,7,77,12,96,0.08333333333333333,0.875,0.11206895901797585,0.8905400598748707
2021-07-22,NJ,8,76,12,96,0.09523809523809523,0.875,0.1099919536942173,0.9410234111101016
2021-07-21,NJ,8,80,8,96,0.09090909090909091,0.9166666666666666,0.091507088259032,0.9469757920624825
2021-07-20,NJ,7,59,12,78,0.10606060606060606,0.8461538461538461,0.10765337633975816,0.9302425572790406
2021-07-19,NJ,7,59,12,78,0.10606060606060606,0.8461538461538461,0.11427450408993645,0.9336408396689196
2021-07-18,NJ,7,77,12,96,0.08333333333333333,0.875,0.09846757230276716,0.9389126158529143
2021-07-17,NJ,7,75,14,96,0.08536585365853659,0.8541666666666666,0.09660014615782511,0.9348541742944727
2021-07-16,NJ,7,77,12,96,0.08333333333333333,0.875,0.10390002167279154,0.9399625609327101
2021-07-15,NJ,7,76,13,96,0.08433734939759036,0.8645833333333334,0.10823200774807736,0.9363422695325679
2021-07-14,NJ,7,81,8,96,0.07954545454545454,0.9166666666666666,0.10880338161816829,0.9469971929673421
2021-07-13,NJ,6,59,13,78,0.09230769230769231,0.8333333333333334,0.11349911853823112,0.9332820918874913
2021-07-12,NJ,7,57,14,78,0.109375,0.8205128205128205,0.10977695810721146,0.9299778360059159
2021-07-11,NJ,7,75,14,96,0.08536585365853659,0.8541666666666666,0.08958326862910648,0.9360340720909118
2021-07-10,NJ,7,75,14,96,0.08536585365853659,0.8541666666666666,0.09767781815607803,0.9360340720909118
2021-07-09,NJ,7,77,12,96,0.08333333333333333,0.875,0.10815926177182211,0.9411424587291491
2021-07-08,NJ,7,76,13,96,0.08433734939759036,0.8645833333333334,0.10673494963797954,0.9382540806056225
2021-07-07,NJ,7,82,7,96,0.07865168539325842,0.9270833333333334,0.11855124471473304,0.947182652034194
2021-07-06,NJ,6,60,12,78,0.09090909090909091,0.8461538461538461,0.1025217036264897,0.9321981418239496
2021-07-05,NJ,6,59,13,78,0.09230769230769231,0.8333333333333334,0.09882064542896,0.9282554353756863
