date,total,pct_yes,pct_reporting,roll_avg,roll_reporting
2020-08-01,5529,0.22597137014314927,0.7075420510037982,NA,NA
2020-08-02,5502,0.22402512431300706,0.6944747364594693,NA,NA
2020-08-03,5544,0.22632382892057026,0.7085137085137085,NA,NA
2020-08-04,5556,0.22564361433619384,0.71310295176385885,NA,NA
2020-08-05,5578,0.22523643603782978,0.7203298673359627,NA,NA
2020-08-06,5614,0.2192154915590864,0.717491984324902,NA,NA
2020-08-07,5623,0.21769359865739632,0.7417748532811667,22.34442091381761,71.47471646689809
2020-08-08,5617,0.2149689143950263,0.7445255474452555,22.187242974558714,72.00305213034748
2020-08-09,5603,0.2112676056338028,0.734963412457612,22.00499270771294,72.58146178746381
2020-08-10,5622,0.21629279811097993,0.7532906438989684,21.861692267575933,73.22113229296751
2020-08-11,5618,0.21778411792677127,0.7486650053399786,21.749413747441324,73.72916162976922
2020-08-12,5622,0.21642145230185098,0.7495553183920313,21.62348540835591,74.14666807342735
2020-08-13,5627,0.2154761904761905,0.7464012795450506,21.5700668214574,74.55965800514377
2020-08-14,5632,0.21763734968167886,0.7530184659090909,21.569263264661437,74.72028104268553
2020-08-15,5585,0.21051401869158878,0.7663384064458371,21.50562189746947,75.03189331412241
2020-08-16,5569,0.204,0.7631531693302208,21.401798959843717,75.43460412658825
2020-08-17,5554,0.208882720333102,0.7783579402232625,21.295940705874035,75.79270835979246
2020-08-18,5655,0.20768335273573924,0.7595048629531388,21.15164406028786,75.94756346855188
2020-08-19,5657,0.2093829443032124,0.7648930528548701,21.051093946021595,76.16667396087816
2020-08-20,5676,0.21275121275121275,0.7626849894291755,21.012165692807624,76.39929838779423
2020-08-21,5689,0.20972923359339146,0.7660397257866057,20.89919260583209,76.58531638604444
2020-08-22,5635,0.2082758620689655,0.771960958296362,20.86721893979462,76.66563855533765
2020-08-23,5630,0.20822799356469776,0.7728241563055063,20.92761884786173,76.80379551212744
2020-08-24,5646,0.2087334247828075,0.7747077577045696,20.925486054286093,76.7516500475747
2020-08-25,5658,0.20683329511579912,0.7707670554966419,20.913342374001235,76.91253851248187
2020-08-26,5658,0.20895861755343337,0.777306468716861,20.907280563290104,77.08987302479603
2020-08-27,5681,0.2042534337616305,0.7945784192923782,20.785883720581786,77.54549345141321
2020-08-28,5694,0.20716000873171797,0.8045310853530031,20.749180508272165,78.09537001664746
2020-08-29,5691,0.20674646354733406,0.807415217009313,20.727331957963145,78.60185942683248
2020-08-30,5686,0.2037686240140228,0.8026732325008794,20.663626678667786,79.02827480105209
2020-08-31,5701,0.20406398616515348,0.8114365900719172,20.5969204127013,79.55297240629992
2020-09-01,5724,0.2056295659647615,0.813067784765898,20.579724281972194,80.15726853871786
2020-09-02,5742,0.20578846563098532,0.8183559735283873,20.534436397365795,80.74369003602538
2020-09-03,5763,0.20111156854672704,0.8429637341662328,20.48955260858146,81.43490881993759
2020-09-04,5788,0.20237121831561733,0.8451969592259848,20.421141316922878,82.0158498752659
2020-09-05,5798,0.19700082169268693,0.8395998620213867,20.281917861856492,82.47563051829552
2020-09-06,5779,0.21368572013931572,0.8446097940820211,20.423590663646387,83.07472425516897
2020-09-07,5764,0.20885564092195713,0.8580846634281749,20.49204287445787,83.74112530311551
2020-09-08,5769,0.21153454249031994,0.8505806898942624,20.57639968196585,84.27702394780644
2020-09-09,5787,0.20689655172413793,0.86694314843615,20.5922294832966,84.97112644648875
2020-09-10,5795,0.20488385944014295,0.8691975841242451,20.64611935320254,85.34589573160322
2020-09-11,5817,0.20616113744075829,0.8705518308406395,20.700261054990268,85.70810818324114
2020-09-12,5815,0.20210442723843558,0.8662080825451419,20.77316970564382,86.08822561929479
2020-09-13,5794,0.20793682931767565,0.8524335519502934,20.691042693906105,86.19999358884154
2020-09-14,5801,0.2078462452942342,0.8700224099293226,20.67662275636721,86.37053282457222
2020-09-15,5809,0.21008234585258084,0.8571182647615768,20.65587709011379,86.46392675124814
2020-09-16,5805,0.2047788309636651,0.8723514211886305,20.62562393639275,86.54118779056928
2020-09-17,5829,0.20671834625322996,0.863098301595471,20.651830890865423,86.45405518301537
2020-09-18,5831,0.18988083610080095,0.8778940147487566,20.419255157437462,86.5589435245599
2020-09-19,5823,0.18879173290937998,0.8641593680233557,20.229073809879523,86.52967617424866
2020-09-20,5817,0.187873952931791,0.8619563348805226,19.94246129008117,86.66571593039481
2020-09-21,5825,0.19007782101167314,0.8824034334763948,19.688626657473154,86.84258769535298
2020-09-22,5821,0.1927710843373494,0.8697818244287923,19.441322921541275,87.0234956905989
2020-09-23,5825,0.19262851600387973,0.8849785407725322,19.267746993544343,87.20388311322608
2020-09-24,5842,0.19223985890652556,0.8735022252653201,19.060911460019998,87.35251059422392
2020-09-25,5870,0.19058553386911595,0.8902896081771721,19.070978570995926,87.52959050034414
2020-09-26,5862,0.18807692307692309,0.8870692596383487,19.060767001960823,87.85687466627262
2020-09-27,5851,0.18899153194765203,0.8880533242180824,19.076732416473124,88.22968879966633
2020-09-28,5869,0.19220378232342725,0.8829442835235985,19.107103292355326,88.2374152289121
2020-09-29,5863,0.19107177217625554,0.8864062766501791,19.082827404339703,88.47490740350334
2020-09-30,5868,0.19382504288164665,0.8941717791411042,19.099920645450656,88.60623938019721
2020-10-01,5874,0.19208824648155193,0.8951310861423221,19.097754753665317,88.91522310701153
2020-10-02,5886,0.1933043313788538,0.8982330954808019,19.136594718090148,89.0287014970634
2020-10-03,5878,0.18828691339183518,0.8917999319496427,19.139594579731746,89.09628253008187
