date,total,pct_hospitals_anticipating_shortage,pct_hospitals_reporting,x7_day_rolling_avg_pct_hospitals_anticipating_shortage,x7_day_rolling_avg_pct_hospitals_reporting
2022-03-07,5554,0.21628679962013295,0.7583723442563918,21.083874778604546,77.87900532880106
2022-03-06,6191,0.2037735849056604,0.7704732676465837,21.188566595552274,78.0613615890662
2022-03-05,6213,0.20423852067317683,0.7746660228553034,21.255625981692607,78.22728161561339
2022-03-04,6238,0.20730706075533661,0.7810195575504969,21.34605822540375,78.30770809786846
2022-03-03,6259,0.20914496616772607,0.7791979549448794,21.484259244262823,78.34780450218616
2022-03-02,6253,0.2126448065972904,0.814489045258276,21.591333879402196,78.53529393482653
2022-03-01,5673,0.22247549578299522,0.7733121805041424,21.631595332587352,78.59075910993198
2022-02-28,5689,0.22361522680647367,0.7711372824749516,21.73733420592714,78.70304640696746
2022-02-27,6342,0.20846774193548387,0.7820876695048881,21.80969426411627,78.9935744446889
2022-02-26,6354,0.21056877773295685,0.780295876613157,21.832565699582435,79.18056272139904
2022-02-25,6356,0.2169811320754717,0.7838263058527376,21.78179337161515,79.42759911888679
2022-02-24,6356,0.21664019062748213,0.7923222152297043,21.85795631485144,79.53051447767182
2022-02-23,6227,0.21546310832025117,0.8183716075156576,21.953223355252874,79.48220689978129
2022-02-22,5630,0.22987721691678034,0.7811722912966252,22.133373379584896,79.52858598954704
2022-02-21,5630,0.22868043087971274,0.791474245115453,22.363475945233198,79.42316202297187
2022-02-20,6220,0.21006874241811566,0.795176848874598,22.61056995401234,79.15223456972805
2022-02-19,6220,0.20701471477524694,0.797588424437299,22.765563095208297,78.9460316697605
2022-02-18,6221,0.2223125381020118,0.7910303809676901,22.943236961728935,78.69440110345458
2022-02-17,6221,0.22330888345558272,0.788940684777367,23.0984503473654,78.6861780122447
2022-02-16,6217,0.22807361002349255,0.8216181437992601,23.267079674356637,78.60251247430695
2022-02-15,5632,0.24598439651216153,0.7737926136363636,23.469539236138925,78.5854242501862
2022-02-14,5631,0.24597701149425288,0.7725093233883857,23.646773637360923,78.56121514924985
2022-02-13,6221,0.2209182623018324,0.7807426458768687,23.86883059979911,78.67896062310089
2022-02-12,6222,0.21945188543169172,0.7799742847958856,24.111128287980364,78.67032881690423
2022-02-11,6223,0.23317747509656434,0.7904547645829986,24.373438260674682,78.7887485426038
2022-02-10,6219,0.2351129363449692,0.7830840971217238,24.614493849934775,78.67117140793096
2022-02-09,6209,0.24224577934825284,0.8204219681108069,24.833754188917865,78.69004351611395
2022-02-08,5634,0.25839080459770114,0.77209797657082,25.00572147103673,78.77147145392298
2022-02-07,5642,0.26152099886492625,0.7807515065579582,25.26704516427159,78.79634413379189
2022-02-06,6213,0.23787910047452032,0.7801384194431031,25.598288336263213,78.7862160130647
2022-02-05,6220,0.2378135835202937,0.7882636655948553,25.841472054974545,78.89344984451733
2022-02-04,6222,0.25005136634477093,0.7822243651558984,26.04763368981583,78.88836924741994
2022-02-03,6220,0.2504611600737856,0.7844051446945337,26.29448214609345,79.01320942176004
2022-02-02,6217,0.2542834890965732,0.8261219237574393,26.608864187835373,79.07933030739781
2022-02-01,5642,0.2766834631241411,0.7738390641616448,26.85099072477209,79.15515925567328
2022-01-31,5642,0.28470802090433994,0.7800425381070543,27.112165180958765,79.18099908658075
2022-01-30,6216,0.2549019607843137,0.7876447876447876,27.262345915287344,79.12385698432888
2022-01-29,6219,0.2522448979591837,0.7879080237980383,27.454501741220433,79.05161294914403
2022-01-28,6219,0.2673307582842041,0.7909631773597041,27.69421880686787,78.9733094412103
2022-01-27,6219,0.2724679029957204,0.7890336066891783,27.859539582877378,78.905219924599
2022-01-26,6217,0.2712323466821435,0.8314299501367219,27.85638459783955,78.94877403750866
2022-01-25,5634,0.2949656750572082,0.7756478523251686,27.90655616738408,78.99052997015211
2022-01-24,5635,0.2952206723073405,0.7760425909494233,27.881899151327882,79.45805684913252
2022-01-23,6214,0.26835286859962987,0.7825877051818474,27.97129957941201,79.83014648251063
2022-01-22,6214,0.2690250925545043,0.7824267782426778,28.034307449175884,80.20106040554488
2022-01-21,6216,0.27890321260487005,0.7861969111969112,28.08461587780584,80.58160085136859
2022-01-20,6214,0.2722470540430719,0.7920823945928549,28.14917655335124,80.94272226049937
2022-01-19,6212,0.27474435655026047,0.8343528654217643,28.252693924051393,81.2303830451398
2022-01-18,5636,0.2932396839332748,0.808374733853797,28.323142234397164,81.21811651760329
2022-01-17,5649,0.30147870227322887,0.8020888652858913,28.359577745574256,81.17608137824989
2022-01-16,6221,0.2727634194831014,0.8085516797942452,28.340028478574432,81.21061105812883
2022-01-15,6222,0.2725466825586015,0.8090646094503375,28.148162540423694,81.2318298515735
2022-01-14,6222,0.28342245989304815,0.8114754098360656,27.943744158043398,81.24659380955558
2022-01-13,6220,0.27949326999208235,0.8122186495176849,27.6340656801849,81.29123678437816
2022-01-12,6216,0.2796757382744644,0.8334942084942085,27.275365201058033,81.34406177289446
2022-01-11,5633,0.2957901697156711,0.8054322740990592,26.85556447053556,81.33333947262109
2022-01-10,5637,0.30011025358324145,0.8045059428774171,26.443271353812204,81.40955828003935
2022-01-09,6217,0.25933280381254964,0.8100369953353708,25.974283531062802,81.47761783722854
2022-01-08,6219,0.25823739579198096,0.8100980865090851,25.64687378203216,81.50259707216198
2022-01-07,6219,0.26174496644295303,0.8146004180736452,25.277129179180818,81.53130370944622
2022-01-06,6220,0.25438423645320196,0.8159163987138264,24.87237711963694,81.5416926584183
