year,mean,median,count,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
2020,79,62,255800,196202,0.7670132916340892,131993,0.5160007818608288,75659,0.29577404222048476,43154,0.16870211102423768,18413,0.07198201720093823,2841,0.011106333072713057
2021,86,66,253615,195512,0.7709007747964435,138291,0.5452792618733119,84691,0.33393529562525875,49135,0.19373854070145693,21286,0.0839303668947026,4292,0.016923289237623956
Pending,140,127,64129,56693,0.8840462193391445,48346,0.7538866971261052,41317,0.644279499134557,33729,0.5259554959534688,20942,0.3265605264388966,74,0.0011539241216922142
