lic_type,standard_app_type,year,mean,median,count,min,max,count_over30days,pct_over30days,count_over60days,pct_over60days,count_over90days,pct_over90days,count_over120days,pct_over120days,count_over180days,pct_over180days,count_over1year,pct_over1year
LPN,Endorsement,2020,65,37,7572,0,667,4185,0.5526941362916006,2592,0.34231378763866877,1724,0.22768092974115162,1204,0.1590068674062335,652,0.0861067089276281,73,0.009640781827786582
LPN,Endorsement,2021,76,42,7719,0,921,4535,0.5875113356652416,2986,0.38683767327374013,2130,0.2759424795958026,1530,0.19821220365332298,850,0.11011789091851276,158,0.02046897266485296
LPN,Endorsement,Pending,162,154,2973,1,369,2733,0.9192734611503531,2454,0.8254288597376388,2182,0.7339387823747057,1846,0.6209216279852001,1235,0.4154053144971409,8,0.0026908846283215607
LPN,Exam,2020,88,67,26761,0,958,23921,0.8938754157169014,15231,0.5691491349351668,8439,0.3153469601285453,4942,0.18467172377713836,2190,0.0818355068943612,399,0.014909756735547999
LPN,Exam,2021,98,72,23359,0,4510,20968,0.897641166145811,14340,0.6138961428143328,8511,0.36435635087118456,5195,0.22239821910184512,2540,0.1087375315724132,572,0.024487349629693053
LPN,Exam,Pending,153,140,8450,2,369,7665,0.9071005917159763,6681,0.7906508875739645,5828,0.6897041420118343,4838,0.5725443786982248,3133,0.3707692307692308,19,0.0022485207100591716
LPN,Exam-retest,2020,179,131,1489,0,774,1403,0.9422431161853593,1116,0.7494963062458025,948,0.6366689053055742,792,0.5319006044325051,558,0.3747481531229013,195,0.13096037609133646
LPN,Exam-retest,2021,206,144,1569,0,936,1464,0.9330783938814532,1182,0.7533460803059273,996,0.6347992351816444,882,0.5621414913957935,668,0.425748884639898,266,0.16953473550031867
LPN,Exam-retest,Pending,222,227,1609,13,369,1595,0.9912989434431324,1563,0.9714108141702921,1525,0.9477936606587943,1402,0.8713486637663145,1047,0.6507147296457427,8,0.004972032318210068
LPN,Other,2020,111,88.5,18,5,347,13,0.7222222222222222,10,0.5555555555555556,9,0.5,6,0.3333333333333333,4,0.2222222222222222,0,0
LPN,Other,2021,42,20,121,0,244,50,0.4132231404958678,29,0.2396694214876033,17,0.14049586776859505,10,0.08264462809917356,4,0.03305785123966942,0,0
LPN,Other,Pending,148,156.5,24,36,263,24,1,21,0.875,19,0.7916666666666666,18,0.75,7,0.2916666666666667,0,0
LPN,Reinstatement,2020,80,35,914,0,664,496,0.5426695842450766,317,0.34682713347921224,228,0.24945295404814005,170,0.18599562363238512,117,0.12800875273522977,40,0.0437636761487965
LPN,Reinstatement,2021,71,23,1373,0,977,590,0.4297159504734159,373,0.2716678805535324,268,0.19519300801165332,214,0.15586307356154405,159,0.11580480699198835,51,0.037144938091769844
LPN,Reinstatement,Pending,134,126.5,148,0,292,139,0.9391891891891891,104,0.7027027027027027,85,0.5743243243243243,75,0.5067567567567568,47,0.31756756756756754,0,0
LPN,Renewal,2020,10,0,24511,0,8337,254,0.010362694300518135,189,0.007710823711802864,171,0.00697645954877402,158,0.006446085431030966,143,0.005834115295173596,123,0.005018155114030435
LPN,Renewal,2021,7,0,27157,0,8343,344,0.012667083993077291,203,0.0074750524726589825,163,0.006002135729277902,139,0.0051183856832492545,118,0.004345104392974187,90,0.0033140626726074307
LPN,Renewal,Pending,160,151,41,27,288,39,0.9512195121951219,32,0.7804878048780488,28,0.6829268292682927,25,0.6097560975609756,18,0.43902439024390244,0,0
LPN,Unknown,2020,102,73,1996,4,3652,1720,0.8617234468937875,1234,0.6182364729458918,726,0.3637274549098196,470,0.23547094188376755,258,0.12925851703406813,52,0.026052104208416832
LPN,Unknown,2021,110,78,1423,1,1734,1237,0.8692902319044272,944,0.6633872101194659,549,0.3858046380885453,380,0.2670414617006325,220,0.15460295151089248,56,0.03935347856640899
LPN,Unknown,Pending,156,160,641,27,307,632,0.9859594383775351,573,0.8939157566302652,483,0.7535101404056163,401,0.625585023400936,215,0.33541341653666146,0,0
LPN-Provisional,Temporary,2020,37,28,2306,0,414,1069,0.4635732870771899,388,0.16825672159583693,171,0.07415437987857762,80,0.03469210754553339,33,0.014310494362532523,2,8.673026886383347e-4
LPN-Provisional,Temporary,2021,34,21,1617,0,602,636,0.39332096474953615,259,0.16017316017316016,110,0.06802721088435375,55,0.034013605442176874,26,0.016079158936301793,5,0.0030921459492888066
LPN-Provisional,Temporary,Pending,105,77,52,2,267,34,0.6538461538461539,29,0.5576923076923077,25,0.4807692307692308,23,0.4423076923076923,13,0.25,0,0
LPN-Refresher Temporary,Temporary,2020,24,25,5,13,39,1,0.2,0,0,0,0,0,0,0,0,0,0
LPN-Refresher Temporary,Temporary,2021,6,5.5,2,4,7,0,0,0,0,0,0,0,0,0,0,0,0
LPN-Temp,Temporary,2020,17,3,3561,0,450,727,0.20415613591687728,238,0.06683515866329683,95,0.02667789946644201,51,0.014321819713563605,29,0.008143779837124403,1,2.808199943836001e-4
LPN-Temp,Temporary,2021,20,4,2137,0,593,494,0.23116518483855872,206,0.09639681796911559,88,0.04117922321010763,40,0.018717828731867104,14,0.006551240056153486,4,0.0018717828731867104
