date,state,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported
2023-04-06,AK,1,17,2
2023-04-05,AK,1,17,2
2023-04-04,AK,1,18,2
2023-04-03,AK,1,19,2
2023-04-02,AK,1,19,2
2023-04-01,AK,1,19,2
2023-03-31,AK,1,19,2
2023-03-30,AK,1,19,2
2023-03-29,AK,1,19,2
2023-03-28,AK,1,19,2
2023-03-27,AK,1,19,2
2023-03-26,AK,1,19,2
2023-03-25,AK,1,19,2
2023-03-24,AK,1,19,2
2023-03-23,AK,1,19,2
2023-03-22,AK,1,19,2
2023-03-21,AK,1,19,2
2023-03-20,AK,1,19,2
2023-03-19,AK,1,19,2
2023-03-18,AK,1,19,2
2023-03-17,AK,1,19,2
2023-03-16,AK,1,19,2
2023-03-15,AK,1,19,2
2023-03-14,AK,1,19,2
2023-03-13,AK,1,19,2
2023-03-12,AK,1,19,2
2023-03-11,AK,1,19,2
2023-03-10,AK,1,19,2
2023-03-09,AK,1,19,2
2023-03-08,AK,1,19,2
2023-03-07,AK,1,19,2
2023-03-06,AK,1,19,2
2023-03-05,AK,1,19,2
2023-03-04,AK,1,19,2
2023-03-03,AK,1,19,2
2023-03-02,AK,1,19,2
2023-03-01,AK,1,19,2
2023-02-28,AK,1,19,2
2023-02-27,AK,1,19,2
2023-02-26,AK,1,18,3
2023-02-25,AK,1,19,2
2023-02-24,AK,1,19,2
2023-02-23,AK,1,19,2
2023-02-22,AK,1,19,2
2023-02-21,AK,1,19,2
2023-02-20,AK,1,19,2
2023-02-19,AK,1,19,2
2023-02-18,AK,1,19,2
2023-02-17,AK,1,19,2
2023-02-16,AK,1,19,2
2023-02-15,AK,1,19,2
2023-02-14,AK,1,19,2
2023-02-13,AK,1,19,2
2023-02-12,AK,1,19,2
2023-02-11,AK,1,19,2
2023-02-10,AK,1,19,2
2023-02-09,AK,1,19,2
2023-02-08,AK,1,19,2
