,date,state,critical_staffing_shortage_anticipated_within_week_yes,critical_staffing_shortage_anticipated_within_week_no,critical_staffing_shortage_anticipated_within_week_not_reported
12185,2022-02-16,AK,5,15,2
23086,2022-02-16,AL,40,50,24
19480,2022-02-16,AR,20,73,2
57,2022-02-16,AS,1,0,0
14717,2022-02-16,AZ,13,65,21
23566,2022-02-16,CA,135,202,38
20397,2022-02-16,CO,19,55,20
12874,2022-02-16,CT,2,23,8
17400,2022-02-16,DC,0,13,1
21081,2022-02-16,DE,4,6,1
24703,2022-02-16,FL,38,143,61
12031,2022-02-16,GA,46,89,20
16497,2022-02-16,HI,3,17,4
18461,2022-02-16,IA,6,24,92
22139,2022-02-16,ID,6,38,4
24966,2022-02-16,IL,17,139,25
22636,2022-02-16,IN,29,101,3
19416,2022-02-16,KS,37,95,7
16164,2022-02-16,KY,35,67,4
13803,2022-02-16,LA,47,174,6
25241,2022-02-16,MA,24,58,1
20350,2022-02-16,MD,11,25,17
16998,2022-02-16,ME,3,19,13
16349,2022-02-16,MI,40,114,4
20916,2022-02-16,MN,22,78,30
24526,2022-02-16,MO,36,64,25
14351,2022-02-16,MS,17,81,3
15441,2022-02-16,MT,10,50,4
20039,2022-02-16,NC,10,62,47
21969,2022-02-16,ND,14,29,4
58,2022-02-16,NE,26,67,2
21146,2022-02-16,NH,4,7,18
17883,2022-02-16,NJ,11,57,11
16037,2022-02-16,NM,23,28,1
16709,2022-02-16,NV,2,11,36
19972,2022-02-16,NY,11,156,11
23140,2022-02-16,OH,4,71,124
11780,2022-02-16,OK,45,78,8
59,2022-02-16,OR,9,47,7
24181,2022-02-16,PA,48,154,6
20629,2022-02-16,PR,3,30,33
17817,2022-02-16,RI,6,6,2
11563,2022-02-16,SC,21,50,5
25061,2022-02-16,SD,4,50,10
21586,2022-02-16,TN,22,96,3
17047,2022-02-16,TX,12,54,438
14198,2022-02-16,UT,3,40,9
12392,2022-02-16,VA,21,60,20
15447,2022-02-16,VI,1,0,0
19588,2022-02-16,VT,11,5,1
20251,2022-02-16,WA,20,70,3
23510,2022-02-16,WI,44,77,20
12993,2022-02-16,WV,29,30,4
15319,2022-02-16,WY,6,18,5
19446,2022-02-15,AK,5,15,2
21021,2022-02-15,AL,40,50,24
17318,2022-02-15,AR,20,73,2
14432,2022-02-15,AS,1,0,0
22053,2022-02-15,AZ,13,65,21
21438,2022-02-15,CA,135,202,38
17789,2022-02-15,CO,19,55,20
13220,2022-02-15,CT,2,23,8
24164,2022-02-15,DC,0,13,1
15329,2022-02-15,DE,4,6,1
18994,2022-02-15,FL,38,144,61
13581,2022-02-15,GA,46,89,20
17316,2022-02-15,HI,3,17,4
20106,2022-02-15,IA,6,23,93
22879,2022-02-15,ID,6,38,4
12749,2022-02-15,IL,18,140,25
16423,2022-02-15,IN,29,102,3
24264,2022-02-15,KS,37,95,7
20261,2022-02-15,KY,35,67,4
15259,2022-02-15,LA,48,173,6
12100,2022-02-15,MA,24,58,1
25195,2022-02-15,MD,11,25,17
21167,2022-02-15,ME,3,19,13
17829,2022-02-15,MI,40,114,4
14635,2022-02-15,MN,22,78,30
12245,2022-02-15,MO,36,64,25
14928,2022-02-15,MS,17,82,3
16875,2022-02-15,MT,10,50,4
20592,2022-02-15,NC,10,62,47
60,2022-02-15,ND,14,29,4
12425,2022-02-15,NE,26,67,2
16035,2022-02-15,NH,4,7,18
19762,2022-02-15,NJ,11,57,11
20854,2022-02-15,NM,23,29,1
16712,2022-02-15,NV,2,11,36
11835,2022-02-15,NY,11,156,11
22395,2022-02-15,OH,4,71,124
21719,2022-02-15,OK,45,81,8
17656,2022-02-15,OR,9,47,7
13701,2022-02-15,PA,48,154,6
25142,2022-02-15,PR,3,30,33
16247,2022-02-15,RI,6,6,2
19072,2022-02-15,SC,21,50,5
61,2022-02-15,SD,4,50,10
19054,2022-02-15,TN,22,96,3
24359,2022-02-15,TX,12,54,438
22103,2022-02-15,UT,3,40,9
12832,2022-02-15,VA,21,60,20
16478,2022-02-15,VI,2,0,0
23700,2022-02-15,VT,11,5,1
21404,2022-02-15,WA,20,71,3
17159,2022-02-15,WI,44,77,20
13973,2022-02-15,WV,29,30,4
22902,2022-02-15,WY,6,18,5
20477,2022-02-14,AK,5,15,2
18128,2022-02-14,AL,40,51,23
14800,2022-02-14,AR,20,73,2
11728,2022-02-14,AS,1,0,0
16181,2022-02-14,AZ,13,68,21
18995,2022-02-14,CA,136,203,38
22698,2022-02-14,CO,19,55,20
14202,2022-02-14,CT,2,23,8
62,2022-02-14,DC,0,13,1
16429,2022-02-14,DE,4,6,1
20131,2022-02-14,FL,39,142,61
20380,2022-02-14,GA,41,89,27
17122,2022-02-14,HI,3,17,4
13828,2022-02-14,IA,7,21,94
23528,2022-02-14,ID,6,38,4
19406,2022-02-14,IL,18,142,25
16615,2022-02-14,IN,30,101,3
14640,2022-02-14,KS,38,96,7
24783,2022-02-14,KY,35,68,3
16407,2022-02-14,LA,48,173,6
19619,2022-02-14,MA,24,58,1
15488,2022-02-14,MD,10,26,17
18754,2022-02-14,ME,3,20,12
18535,2022-02-14,MI,29,125,4
22601,2022-02-14,MN,22,79,30
12909,2022-02-14,MO,37,63,25
16078,2022-02-14,MS,17,83,3
24428,2022-02-14,MT,11,50,4
21786,2022-02-14,NC,10,62,47
17261,2022-02-14,ND,14,29,4
13582,2022-02-14,NE,26,67,2
63,2022-02-14,NH,4,7,18
20833,2022-02-14,NJ,11,57,11
18019,2022-02-14,NM,24,28,1
14270,2022-02-14,NV,0,5,45
12494,2022-02-14,NY,8,161,11
16514,2022-02-14,OH,4,72,124
18809,2022-02-14,OK,45,82,8
22105,2022-02-14,OR,9,47,7
21948,2022-02-14,PA,51,152,6
12308,2022-02-14,PR,2,9,55
16289,2022-02-14,RI,6,6,2
19540,2022-02-14,SC,21,50,5
20913,2022-02-14,SD,4,50,10
18093,2022-02-14,TN,22,97,3
13720,2022-02-14,TX,15,70,419
23844,2022-02-14,UT,2,41,9
19980,2022-02-14,VA,20,62,20
17177,2022-02-14,VI,2,0,0
14336,2022-02-14,VT,11,5,1
24465,2022-02-14,WA,20,71,3
15130,2022-02-14,WI,45,76,20
18393,2022-02-14,WV,28,31,4
17059,2022-02-14,WY,6,18,5
21203,2022-02-13,AK,5,17,2
22508,2022-02-13,AL,42,52,23
12013,2022-02-13,AR,18,90,2
16002,2022-02-13,AS,1,0,0
16695,2022-02-13,AZ,14,83,21
23519,2022-02-13,CA,132,245,35
19901,2022-02-13,CO,20,67,20
15335,2022-02-13,CT,2,30,8
12594,2022-02-13,DC,0,13,1
24282,2022-02-13,DE,3,12,1
20695,2022-02-13,FL,40,170,61
17895,2022-02-13,GA,43,102,27
11640,2022-02-13,HI,3,18,4
14491,2022-02-13,IA,6,19,101
17794,2022-02-13,ID,6,43,4
20148,2022-02-13,IL,18,160,26
24142,2022-02-13,IN,32,133,3
12399,2022-02-13,KS,33,107,7
15515,2022-02-13,KY,37,76,3
19693,2022-02-13,LA,48,173,6
20356,2022-02-13,MA,25,76,1
20075,2022-02-13,MD,11,32,17
15920,2022-02-13,ME,2,24,13
11874,2022-02-13,MI,36,123,4
22439,2022-02-13,MN,23,87,30
20981,2022-02-13,MO,36,80,25
16817,2022-02-13,MS,21,86,3
14421,2022-02-13,MT,10,52,4
24993,2022-02-13,NC,12,75,44
17936,2022-02-13,ND,14,32,4
21564,2022-02-13,NE,22,75,2
17836,2022-02-13,NH,7,6,17
21557,2022-02-13,NJ,12,73,11
22624,2022-02-13,NM,23,31,1
11648,2022-02-13,NV,0,7,55
13540,2022-02-13,NY,10,186,11
17301,2022-02-13,OH,4,107,124
23324,2022-02-13,OK,38,94,15
19234,2022-02-13,OR,9,50,6
16062,2022-02-13,PA,45,178,6
12839,2022-02-13,PR,2,10,55
24191,2022-02-13,RI,6,7,2
20171,2022-02-13,SC,23,60,5
15123,2022-02-13,SD,6,49,10
11962,2022-02-13,TN,22,118,3
14773,2022-02-13,TX,15,97,483
17638,2022-02-13,UT,2,48,9
20703,2022-02-13,VA,22,65,20
25148,2022-02-13,VI,2,0,0
12288,2022-02-13,VT,11,5,1
14963,2022-02-13,WA,21,80,2
17001,2022-02-13,WI,45,81,22
20707,2022-02-13,WV,30,29,4
19270,2022-02-13,WY,6,20,5
16029,2022-02-12,AK,5,17,2
11998,2022-02-12,AL,45,50,22
23351,2022-02-12,AR,18,91,2
20229,2022-02-12,AS,1,0,0
16968,2022-02-12,AZ,13,86,21
14560,2022-02-12,CA,130,246,36
22595,2022-02-12,CO,19,68,20
15525,2022-02-12,CT,2,30,8
21802,2022-02-12,DC,0,13,1
18160,2022-02-12,DE,5,10,1
21830,2022-02-12,FL,40,170,61
22018,2022-02-12,GA,45,99,28
12791,2022-02-12,HI,3,18,4
15383,2022-02-12,IA,6,20,100
19162,2022-02-12,ID,5,44,4
21206,2022-02-12,IL,15,163,26
18769,2022-02-12,IN,34,131,3
16439,2022-02-12,KS,38,102,7
13159,2022-02-12,KY,38,76,2
23720,2022-02-12,LA,48,173,6
21391,2022-02-12,MA,22,79,1
17253,2022-02-12,MD,11,31,18
13984,2022-02-12,ME,2,24,13
12648,2022-02-12,MI,37,122,4
16261,2022-02-12,MN,23,87,30
21654,2022-02-12,MO,36,79,26
24385,2022-02-12,MS,21,86,3
11757,2022-02-12,MT,9,53,4
15712,2022-02-12,NC,12,77,42
19010,2022-02-12,ND,12,34,4
22284,2022-02-12,NE,21,76,2
17671,2022-02-12,NH,7,5,18
14807,2022-02-12,NJ,12,74,10
12902,2022-02-12,NM,23,31,1
23013,2022-02-12,NV,0,7,55
20255,2022-02-12,NY,9,188,11
17456,2022-02-12,OH,4,107,124
13726,2022-02-12,OK,35,95,19
23851,2022-02-12,OR,9,50,6
17183,2022-02-12,PA,43,180,6
20453,2022-02-12,PR,2,7,58
64,2022-02-12,RI,6,7,2
21291,2022-02-12,SC,24,59,5
22759,2022-02-12,SD,6,49,10
13169,2022-02-12,TN,22,118,3
15478,2022-02-12,TX,14,99,482
18766,2022-02-12,UT,3,47,9
21918,2022-02-12,VA,22,65,20
19110,2022-02-12,VI,2,0,0
16316,2022-02-12,VT,11,5,1
12688,2022-02-12,WA,21,79,3
24437,2022-02-12,WI,46,81,21
21649,2022-02-12,WV,30,29,4
17131,2022-02-12,WY,6,20,5
13439,2022-02-11,AK,5,17,2
13143,2022-02-11,AL,44,52,21
17239,2022-02-11,AR,22,87,2
21354,2022-02-11,AS,1,0,0
24449,2022-02-11,AZ,13,86,21
12312,2022-02-11,CA,144,236,32
16309,2022-02-11,CO,22,65,20
18895,2022-02-11,CT,2,30,8
22200,2022-02-11,DC,0,13,1
18197,2022-02-11,DE,3,12,1
15343,2022-02-11,FL,40,170,61
12625,2022-02-11,GA,45,91,36
22730,2022-02-11,HI,3,18,4
20819,2022-02-11,IA,6,18,102
18008,2022-02-11,ID,7,42,4
13499,2022-02-11,IL,19,159,26
23617,2022-02-11,IN,36,129,3
16086,2022-02-11,KS,38,104,7
19331,2022-02-11,KY,37,76,3
14428,2022-02-11,LA,49,172,6
22027,2022-02-11,MA,30,71,1
21797,2022-02-11,MD,11,31,18
17810,2022-02-11,ME,4,21,14
13241,2022-02-11,MI,37,122,4
24186,2022-02-11,MN,23,87,30
22656,2022-02-11,MO,39,77,25
12086,2022-02-11,MS,19,88,3
16121,2022-02-11,MT,12,50,4
16782,2022-02-11,NC,12,78,41
20053,2022-02-11,ND,16,30,4
23278,2022-02-11,NE,26,71,2
11915,2022-02-11,NH,6,6,18
15936,2022-02-11,NJ,12,73,11
17194,2022-02-11,NM,23,31,1
13334,2022-02-11,NV,0,7,55
24716,2022-02-11,NY,11,186,11
21532,2022-02-11,OH,3,108,124
18279,2022-02-11,OK,47,93,9
14103,2022-02-11,OR,9,50,6
23828,2022-02-11,PA,44,179,6
20672,2022-02-11,PR,11,49,7
65,2022-02-11,RI,6,7,2
15114,2022-02-11,SC,24,59,5
19683,2022-02-11,SD,7,48,10
23296,2022-02-11,TN,22,118,3
23425,2022-02-11,TX,16,100,480
12520,2022-02-11,UT,2,48,9
15229,2022-02-11,VA,22,65,20
18911,2022-02-11,VI,2,0,0
13498,2022-02-11,VT,11,5,1
24014,2022-02-11,WA,20,80,3
11803,2022-02-11,WI,47,81,20
22382,2022-02-11,WV,32,27,4
21697,2022-02-11,WY,7,19,5
17623,2022-02-10,AK,5,17,2
13738,2022-02-10,AL,44,52,21
24886,2022-02-10,AR,23,86,2
22518,2022-02-10,AS,1,0,0
11559,2022-02-10,AZ,12,87,21
13449,2022-02-10,CA,146,230,36
17117,2022-02-10,CO,23,64,20
19966,2022-02-10,CT,2,30,8
22746,2022-02-10,DC,0,13,1
12671,2022-02-10,DE,5,10,1
16390,2022-02-10,FL,39,171,61
16693,2022-02-10,GA,44,93,35
13436,2022-02-10,HI,3,18,4
24835,2022-02-10,IA,7,22,97
19019,2022-02-10,ID,7,42,4
17577,2022-02-10,IL,19,158,26
14245,2022-02-10,IN,34,131,3
24114,2022-02-10,KS,38,104,7
21818,2022-02-10,KY,40,73,3
11594,2022-02-10,LA,49,172,6
15159,2022-02-10,MA,30,71,1
19777,2022-02-10,MD,11,32,17
20900,2022-02-10,ME,3,22,14
22812,2022-02-10,MI,37,122,4
12710,2022-02-10,MN,23,87,30
15425,2022-02-10,MO,42,74,25
20016,2022-02-10,MS,21,86,3
14730,2022-02-10,MT,11,52,3
24311,2022-02-10,NC,12,74,45
13797,2022-02-10,ND,16,30,4
23565,2022-02-10,NE,25,72,2
19457,2022-02-10,NH,5,7,18
16213,2022-02-10,NJ,13,73,10
14684,2022-02-10,NM,24,29,1
24410,2022-02-10,NV,0,7,55
22033,2022-02-10,NY,10,187,11
12776,2022-02-10,OH,4,107,124
15470,2022-02-10,OK,49,91,8
19183,2022-02-10,OR,9,50,6
24555,2022-02-10,PA,47,176,6
21854,2022-02-10,PR,3,9,55
13047,2022-02-10,RI,6,7,2
16205,2022-02-10,SC,23,60,5
16737,2022-02-10,SD,6,49,10
13923,2022-02-10,TN,22,118,3
24013,2022-02-10,TX,15,102,479
20443,2022-02-10,UT,3,47,9
15824,2022-02-10,VA,20,67,20
13088,2022-02-10,VI,2,0,0
24915,2022-02-10,VT,11,5,1
21323,2022-02-10,WA,20,82,2
11635,2022-02-10,WI,46,82,20
15649,2022-02-10,WV,30,29,4
18901,2022-02-10,WY,7,19,5
22182,2022-02-09,AK,6,16,2
14179,2022-02-09,AL,45,54,18
18350,2022-02-09,AR,22,87,2
16398,2022-02-09,AS,1,0,0
19658,2022-02-09,AZ,13,87,19
14526,2022-02-09,CA,155,222,33
24515,2022-02-09,CO,23,64,20
13667,2022-02-09,CT,2,31,7
23792,2022-02-09,DC,0,13,1
20077,2022-02-09,DE,5,10,1
17224,2022-02-09,FL,41,170,60
14341,2022-02-09,GA,45,91,35
24495,2022-02-09,HI,3,22,0
22775,2022-02-09,IA,9,39,78
13051,2022-02-09,ID,7,42,4
15367,2022-02-09,IL,25,153,24
18627,2022-02-09,IN,35,130,3
18509,2022-02-09,KS,42,100,7
22638,2022-02-09,KY,39,74,3
12937,2022-02-09,LA,49,172,6
16107,2022-02-09,MA,30,71,1
17545,2022-02-09,MD,10,37,13
14656,2022-02-09,ME,3,23,13
23759,2022-02-09,MI,37,122,4
20183,2022-02-09,MN,23,88,29
16658,2022-02-09,MO,52,74,15
13812,2022-02-09,MS,21,86,3
24770,2022-02-09,MT,12,50,4
21216,2022-02-09,NC,12,107,12
12204,2022-02-09,ND,16,30,4
16185,2022-02-09,NE,26,71,2
18690,2022-02-09,NH,6,7,17
21852,2022-02-09,NJ,14,81,1
14762,2022-02-09,NM,22,31,1
12047,2022-02-09,NV,0,4,55
16065,2022-02-09,NY,12,185,11
19323,2022-02-09,OH,44,167,24
13221,2022-02-09,OK,51,91,4
24147,2022-02-09,OR,10,48,7
11604,2022-02-09,PA,47,176,6
22572,2022-02-09,PR,7,48,12
20586,2022-02-09,RI,6,7,2
16910,2022-02-09,SC,25,58,5
14062,2022-02-09,SD,7,48,10
25085,2022-02-09,TN,22,117,3
25243,2022-02-09,TX,15,102,479
14238,2022-02-09,UT,2,48,9
17091,2022-02-09,VA,21,66,20
20792,2022-02-09,VI,2,0,0
22321,2022-02-09,VT,11,5,1
12210,2022-02-09,WA,21,80,2
15740,2022-02-09,WI,43,84,21
16882,2022-02-09,WV,30,29,4
16472,2022-02-09,WY,7,19,5
12428,2022-02-08,AK,6,14,2
22084,2022-02-08,AL,42,49,23
18796,2022-02-08,AR,20,74,2
17429,2022-02-08,AS,1,0,0
13291,2022-02-08,AZ,13,66,27
24702,2022-02-08,CA,150,190,35
21520,2022-02-08,CO,18,57,20
14747,2022-02-08,CT,2,23,8
17599,2022-02-08,DC,0,13,1
20399,2022-02-08,DE,4,6,1
23963,2022-02-08,FL,40,141,61
12381,2022-02-08,GA,44,79,34
15068,2022-02-08,HI,3,18,4
19664,2022-02-08,IA,8,17,97
23284,2022-02-08,ID,6,38,4
12952,2022-02-08,IL,22,138,25
23462,2022-02-08,IN,31,100,3
12151,2022-02-08,KS,43,95,7
23449,2022-02-08,KY,37,66,3
20269,2022-02-08,LA,49,172,6
16989,2022-02-08,MA,25,57,1
14592,2022-02-08,MD,9,30,14
22615,2022-02-08,ME,2,22,13
25152,2022-02-08,MI,37,117,4
14159,2022-02-08,MN,23,80,28
17204,2022-02-08,MO,41,60,25
21533,2022-02-08,MS,20,80,3
22664,2022-02-08,MT,8,53,4
11679,2022-02-08,NC,11,68,41
13512,2022-02-08,ND,14,29,4
17221,2022-02-08,NE,25,69,1
15960,2022-02-08,NH,5,7,17
12801,2022-02-08,NJ,12,59,9
22420,2022-02-08,NM,22,29,1
20025,2022-02-08,NV,0,2,55
16832,2022-02-08,NY,10,159,11
13578,2022-02-08,OH,4,70,125
25004,2022-02-08,OK,48,79,9
19131,2022-02-08,OR,11,46,7
14084,2022-02-08,PA,46,158,6
17821,2022-02-08,PR,3,15,49
20729,2022-02-08,RI,6,6,2
25179,2022-02-08,SC,23,48,5
11624,2022-02-08,SD,5,49,10
15197,2022-02-08,TN,22,96,3
19749,2022-02-08,TX,14,79,412
20909,2022-02-08,UT,2,42,9
24239,2022-02-08,VA,23,58,20
20197,2022-02-08,VI,2,0,0
13075,2022-02-08,VT,11,5,1
22811,2022-02-08,WA,20,72,2
20418,2022-02-08,WI,43,77,22
17180,2022-02-08,WV,29,30,4
13777,2022-02-08,WY,8,16,5
23893,2022-02-07,AK,5,15,2
22891,2022-02-07,AL,42,49,23
13163,2022-02-07,AR,20,74,2
18187,2022-02-07,AS,1,0,0
21394,2022-02-07,AZ,13,65,27
22048,2022-02-07,CA,148,193,35
12400,2022-02-07,CO,19,56,20
15563,2022-02-07,CT,1,24,8
18771,2022-02-07,DC,0,13,1
14051,2022-02-07,DE,4,6,1
25058,2022-02-07,FL,41,140,61
23145,2022-02-07,GA,46,78,35
19488,2022-02-07,HI,3,18,4
16675,2022-02-07,IA,7,17,98
13916,2022-02-07,ID,5,40,4
24027,2022-02-07,IL,21,140,25
20456,2022-02-07,IN,34,97,3
12414,2022-02-07,KS,41,97,7
16458,2022-02-07,KY,36,67,3
21440,2022-02-07,LA,50,171,6
24583,2022-02-07,MA,25,57,1
11577,2022-02-07,MD,10,29,14
15539,2022-02-07,ME,3,21,13
18818,2022-02-07,MI,46,108,4
22087,2022-02-07,MN,23,80,28
24769,2022-02-07,MO,40,61,25
22059,2022-02-07,MS,23,77,3
12789,2022-02-07,MT,10,51,4
22884,2022-02-07,NC,11,74,35
20853,2022-02-07,ND,14,29,4
18049,2022-02-07,NE,24,70,1
13456,2022-02-07,NH,5,7,17
23594,2022-02-07,NJ,14,57,9
23376,2022-02-07,NM,23,28,1
13704,2022-02-07,NV,0,2,55
17873,2022-02-07,NY,12,157,11
21108,2022-02-07,OH,3,74,123
22579,2022-02-07,OK,48,79,8
13141,2022-02-07,OR,10,48,6
15453,2022-02-07,PA,50,157,6
18737,2022-02-07,PR,10,48,9
14827,2022-02-07,RI,6,6,2
12109,2022-02-07,SC,23,49,5
23033,2022-02-07,SD,5,49,10
19434,2022-02-07,TN,22,96,3
17557,2022-02-07,TX,15,78,413
66,2022-02-07,UT,2,41,9
23837,2022-02-07,VA,22,59,20
20270,2022-02-07,VI,2,0,0
13111,2022-02-07,VT,11,5,1
17215,2022-02-07,WA,21,72,2
21373,2022-02-07,WI,47,74,21
24478,2022-02-07,WV,28,31,4
12340,2022-02-07,WY,8,16,5
16344,2022-02-06,AK,6,16,2
18676,2022-02-06,AL,45,50,22
21953,2022-02-06,AR,23,86,2
24501,2022-02-06,AS,1,0,0
21736,2022-02-06,AZ,13,81,27
17218,2022-02-06,CA,148,231,35
16495,2022-02-06,CO,21,66,20
16265,2022-02-06,CT,1,31,8
19508,2022-02-06,DC,0,13,1
21894,2022-02-06,DE,5,10,1
12250,2022-02-06,FL,40,170,61
13627,2022-02-06,GA,43,95,34
23751,2022-02-06,HI,3,19,4
21051,2022-02-06,IA,6,18,102
18216,2022-02-06,ID,5,44,4
11933,2022-02-06,IL,23,154,26
24551,2022-02-06,IN,38,127,3
20994,2022-02-06,KS,40,104,7
17281,2022-02-06,KY,44,70,3
22479,2022-02-06,LA,51,170,6
11940,2022-02-06,MA,22,80,1
15881,2022-02-06,MD,11,35,14
20017,2022-02-06,ME,4,21,14
19794,2022-02-06,MI,45,114,4
23091,2022-02-06,MN,24,88,28
11726,2022-02-06,MO,41,75,25
15734,2022-02-06,MS,19,88,3
24138,2022-02-06,MT,10,52,4
20575,2022-02-06,NC,13,73,46
17767,2022-02-06,ND,14,32,4
14887,2022-02-06,NE,23,74,2
25012,2022-02-06,NH,5,8,17
21245,2022-02-06,NJ,14,72,10
16663,2022-02-06,NM,24,30,2
13856,2022-02-06,NV,0,9,44
12216,2022-02-06,NY,9,188,11
15507,2022-02-06,OH,4,108,123
19653,2022-02-06,OK,37,95,19
13798,2022-02-06,OR,10,49,6
16146,2022-02-06,PA,47,176,6
19410,2022-02-06,PR,2,6,59
22652,2022-02-06,RI,6,7,2
12941,2022-02-06,SC,25,58,5
13511,2022-02-06,SD,7,48,10
23621,2022-02-06,TN,23,117,3
21795,2022-02-06,TX,17,104,474
15471,2022-02-06,UT,3,47,9
14395,2022-02-06,VA,23,64,20
24519,2022-02-06,VI,2,0,0
16839,2022-02-06,VT,11,5,1
16927,2022-02-06,WA,19,84,2
22100,2022-02-06,WI,48,81,21
11575,2022-02-06,WV,29,30,4
16462,2022-02-06,WY,7,19,5
17157,2022-02-05,AK,6,16,2
19475,2022-02-05,AL,44,50,23
22732,2022-02-05,AR,24,85,2
12297,2022-02-05,AS,1,0,0
16236,2022-02-05,AZ,14,80,27
23787,2022-02-05,CA,147,230,37
20214,2022-02-05,CO,24,63,20
18284,2022-02-05,CT,1,31,8
12045,2022-02-05,DC,0,13,1
24691,2022-02-05,DE,4,11,1
21118,2022-02-05,FL,40,170,61
17449,2022-02-05,GA,44,94,34
14789,2022-02-05,HI,3,19,4
13048,2022-02-05,IA,6,20,100
15805,2022-02-05,ID,6,43,4
19492,2022-02-05,IL,23,154,26
14931,2022-02-05,IN,39,126,3
21256,2022-02-05,KS,43,101,7
24840,2022-02-05,KY,41,73,3
23357,2022-02-05,LA,51,170,6
12448,2022-02-05,MA,22,80,1
13782,2022-02-05,MD,11,35,14
24313,2022-02-05,ME,3,22,14
21197,2022-02-05,MI,47,112,4
17036,2022-02-05,MN,24,88,28
13006,2022-02-05,MO,41,75,25
23523,2022-02-05,MS,19,88,3
18504,2022-02-05,MT,10,52,4
17898,2022-02-05,NC,13,72,47
22292,2022-02-05,ND,13,33,4
12172,2022-02-05,NE,24,73,2
15643,2022-02-05,NH,5,7,18
18568,2022-02-05,NJ,13,73,10
24777,2022-02-05,NM,25,30,1
14646,2022-02-05,NV,0,9,50
13161,2022-02-05,NY,12,185,11
15973,2022-02-05,OH,4,109,122
23764,2022-02-05,OK,37,95,19
20600,2022-02-05,OR,11,48,6
17546,2022-02-05,PA,44,179,6
13217,2022-02-05,PR,9,56,2
22950,2022-02-05,RI,6,7,2
19850,2022-02-05,SC,24,59,5
18369,2022-02-05,SD,7,48,10
14207,2022-02-05,TN,23,117,3
11692,2022-02-05,TX,17,104,475
16099,2022-02-05,UT,3,47,9
18971,2022-02-05,VA,23,64,20
15298,2022-02-05,VI,2,0,0
21536,2022-02-05,VT,12,4,1
19144,2022-02-05,WA,18,85,2
22832,2022-02-05,WI,50,79,21
12725,2022-02-05,WV,28,31,4
13890,2022-02-05,WY,7,19,5
23576,2022-02-04,AK,6,16,2
20306,2022-02-04,AL,47,50,20
17027,2022-02-04,AR,24,85,2
13029,2022-02-04,AS,1,0,0
22734,2022-02-04,AZ,13,81,27
21273,2022-02-04,CA,150,229,35
18023,2022-02-04,CO,24,63,20
22384,2022-02-04,CT,1,31,8
13021,2022-02-04,DC,0,13,1
14923,2022-02-04,DE,5,10,1
18601,2022-02-04,FL,42,168,61
24909,2022-02-04,GA,46,91,35
22571,2022-02-04,HI,3,19,4
12466,2022-02-04,IA,8,22,96
16030,2022-02-04,ID,6,43,4
24032,2022-02-04,IL,24,153,26
21733,2022-02-04,IN,41,124,3
16753,2022-02-04,KS,45,99,7
13331,2022-02-04,KY,40,74,3
23392,2022-02-04,LA,50,171,6
20659,2022-02-04,MA,32,70,1
17859,2022-02-04,MD,12,30,18
14109,2022-02-04,ME,2,23,14
11560,2022-02-04,MI,47,112,4
15550,2022-02-04,MN,24,86,30
19700,2022-02-04,MO,44,72,25
17277,2022-02-04,MS,21,86,3
18836,2022-02-04,MT,9,53,4
22116,2022-02-04,NC,13,74,45
12441,2022-02-04,ND,15,31,4
16488,2022-02-04,NE,29,68,2
23845,2022-02-04,NH,4,8,18
22823,2022-02-04,NJ,13,72,11
19205,2022-02-04,NM,24,32,1
15520,2022-02-04,NV,0,9,50
14359,2022-02-04,NY,14,183,11
23641,2022-02-04,OH,4,108,123
21762,2022-02-04,OK,50,91,10
18114,2022-02-04,OR,12,46,7
24989,2022-02-04,PA,48,176,6
14266,2022-02-04,PR,3,10,54
67,2022-02-04,RI,7,6,2
20818,2022-02-04,SC,24,59,5
22462,2022-02-04,SD,5,50,10
11949,2022-02-04,TN,23,117,3
15958,2022-02-04,TX,17,108,471
20136,2022-02-04,UT,2,48,9
23148,2022-02-04,VA,23,64,20
19630,2022-02-04,VI,2,0,0
15056,2022-02-04,VT,12,4,1
12345,2022-02-04,WA,20,83,2
24117,2022-02-04,WI,49,80,21
20530,2022-02-04,WV,30,29,4
17735,2022-02-04,WY,8,18,5
14858,2022-02-03,AK,6,16,2
14804,2022-02-03,AL,46,50,21
18122,2022-02-03,AR,24,85,2
20215,2022-02-03,AS,1,0,0
16934,2022-02-03,AZ,15,78,27
18706,2022-02-03,CA,153,226,35
21979,2022-02-03,CO,22,65,20
13133,2022-02-03,CT,2,30,8
13743,2022-02-03,DC,0,13,1
12417,2022-02-03,DE,5,10,1
23320,2022-02-03,FL,40,170,61
18875,2022-02-03,GA,45,92,35
15202,2022-02-03,HI,3,19,4
13253,2022-02-03,IA,7,17,102
24187,2022-02-03,ID,7,42,4
21429,2022-02-03,IL,19,158,26
17780,2022-02-03,IN,37,128,3
24685,2022-02-03,KS,46,98,7
14122,2022-02-03,KY,42,72,3
17458,2022-02-03,LA,49,172,6
21504,2022-02-03,MA,32,70,1
22150,2022-02-03,MD,11,32,17
11597,2022-02-03,ME,3,22,14
16519,2022-02-03,MI,47,112,4
17479,2022-02-03,MN,26,72,42
22779,2022-02-03,MO,46,70,25
19525,2022-02-03,MS,20,87,3
15371,2022-02-03,MT,9,53,4
13074,2022-02-03,NC,13,90,29
23616,2022-02-03,ND,15,31,4
